code,name,shares,weight,market_value_100m
2330,台積電,1086000,9.09,26.28
2383,台光電,325000,6.19,17.84
2454,聯發科技,355000,4.91,14.15
3037,欣興,1141000,4.39,12.67
3017,奇鋐科技,362000,4.22,12.16
2059,川湖科技,80000,3.97,11.44
2345,智邦科技,530000,3.91,11.26
6223,旺矽科技,204000,3.56,10.26
6669,緯穎科技服務,127000,3.17,9.14
3653,健策,151000,3.03,8.74
3443,創意,136000,2.84,8.18
8046,南電,660000,2.84,8.18
2308,台達電,413000,2.62,7.56
6274,台燿,458000,2.37,6.82
2327,國巨*,1012000,2.1,6.04
3665,貿聯-KY,264000,2.07,5.97
5274,信驊科技,37800,2.05,5.91
7769,鴻勁精密,77000,1.73,5.0
3711,日月光投資控股,626000,1.35,3.89
2368,金像電,331000,1.3,3.74
2303,聯電,2650000,1.19,3.44
2360,致茂電子,164000,1.14,3.3
3008,大立光,40000,0.98,2.83
6488,環球晶,228000,0.77,2.22
6187,萬潤,160000,0.76,2.18
2486,一詮精密,837000,0.76,2.18
3450,聯鈞,315000,0.69,2.0
8996,高力熱處理工業,152000,0.67,1.92
3189,景碩科技,208000,0.65,1.87
2344,華邦電子,973000,0.61,1.77
3081,聯亞,52000,0.6,1.72
1326,台化,2500000,0.54,1.55
6515,穎崴科技,24000,0.52,1.5
8358,金居,235000,0.44,1.28
6510,精測,45000,0.42,1.21
2886,兆豐金,2500000,0.42,1.21
3167,大量,150000,0.41,1.17
2885,元大金,1788000,0.4,1.14
4958,臻鼎-KY,229000,0.38,1.1
6805,富世達,44000,0.36,1.03
3105,穩懋,216000,0.33,0.95
1303,南亞,395000,0.3,0.87
2395,研華,121000,0.28,0.81
6285,啟碁科技,323000,0.28,0.8
3260,威剛科技,180000,0.26,0.74
6531,愛普科技,80000,0.25,0.72
8210,勤誠興業,71000,0.24,0.7
2455,全新,155000,0.23,0.67
6213,聯茂,110000,0.22,0.64
3131,弘塑科技,24000,0.21,0.6
2449,京元電子,210000,0.2,0.57
3583,辛耘,78000,0.2,0.58
6139,亞翔,72000,0.19,0.56
2472,立隆電子工業,191000,0.15,0.44
5289,宜鼎國際,26517,0.14,0.39
8150,南茂科技,455000,0.14,0.41
6196,帆宣,60000,0.1,0.3
6138,茂達電子,80000,0.08,0.24
