code,name,shares,weight,market_value_100m
2330,台積電,11264000,9.29,272.59
2383,台光電,4807000,8.99,263.9
3037,欣興,20300000,7.68,225.33
2454,聯發科技,5148000,6.99,205.15
3017,奇鋐科技,5979000,6.85,200.89
6669,緯穎科技服務,2226000,5.46,160.27
2327,國巨*,25387000,5.17,151.56
3653,健策,2407000,4.75,139.24
2345,智邦科技,6564000,4.75,139.49
2308,台達電,7250000,4.52,132.68
6223,旺矽科技,2486000,4.26,125.05
3711,日月光投資控股,19479000,4.12,120.96
8046,南電,9624000,4.07,119.34
2303,聯電,89518000,3.97,116.37
3665,貿聯-KY,4671848,3.6,105.58
6274,台燿,5498000,2.79,81.92
6805,富世達,2264000,1.81,53.09
5274,信驊科技,313900,1.67,49.06
2449,京元電子,12668450,1.17,34.2
8210,勤誠興業,2477000,0.84,24.52
2368,金像電,1957000,0.75,22.11
3443,創意,325000,0.67,19.55
4979,華星光,3173000,0.66,19.36
8996,高力熱處理工業,1301000,0.56,16.46
3264,欣銓科技,5917000,0.47,13.9
6510,精測,477000,0.44,12.78
4958,臻鼎-KY,1645000,0.27,7.9
6278,台表科,3249000,0.22,6.55
6271,同欣電,2223000,0.16,4.78
3376,新日興,1741000,0.13,3.78
6191,精成科,3988000,0.12,3.38
6187,萬潤,88000,0.04,1.2
2002,中鋼,5163000,0.03,0.98
8358,金居,1000,0.0,0.01
3661,世芯-KY,1000,0.0,0.04
2439,美律,1000,0.0,0.0
1590,亞德客-KY,1000,0.0,0.01
3008,大立光,1000,0.0,0.07
2382,廣達電腦,1000,0.0,0.0
2408,南亞科技,1000,0.0,0.01
2637,慧洋-KY,1000,0.0,0.0
6515,穎崴科技,1000,0.0,0.06
2360,致茂電子,1000,0.0,0.02
6488,環球晶,1000,0.0,0.01
4966,譜瑞-KY,1000,0.0,0.01
2313,華通,1000,0.0,0.0
8150,南茂科技,1000,0.0,0.0
2317,鴻海精密工業,1000,0.0,0.0
5347,世界先進,1000,0.0,0.0
2481,強茂,5000,0.0,0.01
