code,name,shares,weight,market_value_100m
LITE US,魯門特姆控股公司,117000,5.59,1.03
3037,欣興,2600000,4.39,26.0
2383,台光電,445000,4.27,25.32
009150 KS,三星電機,70000,3.98,1045.1
6981 JP,村田製作所有限公司,1350000,3.82,112.2
MU US,美光科技公司,70000,3.61,0.66
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.41,0.63
CRDO US,Credo科技集團控股有限公司,225000,3.25,0.6
PANW US,Palo Alto Networks Inc,150000,3.22,0.59
285A JP,鎧俠控股公司,180000,3.17,93.24
2454,聯發科技,445000,3.17,18.8
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.98,0.55
BE US,布魯姆能源公司,210000,2.69,0.5
2330,台積電,650000,2.67,15.83
6223,旺矽科技,242000,2.65,15.72
MRVL US,MARVELL TECHNOLOGY INC,205000,2.47,0.46
SNOW US,Snowflake公司,130000,2.38,0.44
WDC US,威騰電子公司,80000,2.12,0.39
AMAT US,應用材料,68000,1.97,0.36
3711,日月光投資控股,1800000,1.9,11.27
NOW US,ServiceNow公司,270000,1.86,0.34
6871 JP,MICRONICS JAPAN CO LTD,370000,1.82,53.5
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.81,2.25
SNDK US,晟碟公司（德拉瓦州）,21000,1.74,0.32
2327,國巨*,1550000,1.73,10.26
COHR US,連貫公司,95000,1.69,0.31
6976 JP,TAIYO YUDEN CO LTD,450000,1.68,49.21
IFX GY,英飛凌科技股份有限公司,425000,1.66,0.27
2308,台達電,468000,1.49,8.82
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.34,39.27
MPWR US,芯源系統有限公司,18000,1.33,0.25
PLTR US,帕蘭提爾科技公司,130000,1.26,0.23
TER US,泰瑞達公司,55000,1.23,0.23
LMT US,LOCKHEED MARTIN CORP,38000,1.23,0.23
3017,奇鋐科技,215000,1.16,6.88
FORM US,FORMFACTOR INC,150454,1.07,0.2
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.05,1.3
6787 JP,MEIKO ELECTRONICS CO LTD,160000,1.02,30.06
STX US,希捷科技控股公開有限公司,20000,1.0,0.18
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,0.87,1.26
NET US,Cloudflare公司,45000,0.81,0.15
SPCX US,太空探索科技公司,100000,0.77,0.14
TWLO US,Twilio公司,55000,0.74,0.14
AIXA GY,愛思強股份有限公司,200000,0.52,0.08
AEHR US,AEHR TEST SYSTEMS,70000,0.47,0.09
4979,華星光,450000,0.43,2.54
