code,name,shares,weight,market_value_100m
2330,台積電,349000,8.32,8.64
2454,聯發科技,131000,6.7,6.92
3037,欣興,519000,5.96,6.15
3017,奇鋐科技,164000,5.65,5.83
3443,創意,66000,5.45,5.63
2383,台光電,101000,4.94,5.1
6669,緯穎科技服務,215191,4.41,4.55
6223,旺矽科技,82000,4.3,4.44
3189,景碩科技,431000,4.01,4.15
5274,信驊科技,20600,3.96,4.09
2408,南亞科技,630000,3.07,3.17
8046,南電,254000,3.05,3.15
2303,聯電,1938000,2.89,2.98
2059,川湖科技,20000,2.39,2.47
2345,智邦科技,129000,2.37,2.44
6274,台燿,159000,2.3,2.38
3653,健策,34000,2.28,2.35
2327,國巨*,388000,2.18,2.25
2344,華邦電子,1238000,2.06,2.12
2308,台達電,108000,2.0,2.06
3665,貿聯-KY,83000,1.88,1.94
2455,全新,348000,1.87,1.93
3008,大立光,26000,1.57,1.62
1303,南亞,571000,1.32,1.36
4958,臻鼎-KY,255000,1.17,1.21
1560,中砂,106000,1.0,1.03
3324,雙鴻科技,38000,0.63,0.65
8358,金居,121000,0.6,0.62
2006,東和鋼鐵,699000,0.59,0.61
2395,研華,84000,0.59,0.61
3711,日月光投資控股,85000,0.58,0.59
6213,聯茂,95000,0.55,0.57
6805,富世達,22000,0.54,0.56
2412,中華電信,357000,0.5,0.52
3081,聯亞,19000,0.5,0.51
2347,聯強,474000,0.43,0.45
2606,裕民,498000,0.37,0.38
3532,台勝科,80000,0.35,0.36
2360,致茂電子,15000,0.33,0.34
2603,長榮海運,135000,0.32,0.33
6505,台塑石化,378000,0.32,0.33
3406,玉晶光,33000,0.29,0.3
3044,健鼎科技,54000,0.28,0.29
4904,遠傳電信,266000,0.27,0.28
2301,光寶科技,89000,0.25,0.26
2313,華通,110000,0.24,0.24
6147,頎邦,113000,0.23,0.24
2027,大成鋼,459000,0.21,0.22
8299,群聯電子,10000,0.21,0.21
2618,長榮航,487000,0.2,0.2
3491,昇達科,11000,0.17,0.17
2885,元大金,105360,0.07,0.07
5289,宜鼎國際,2872,0.04,0.04
