code,name,shares,weight,market_value_100m
SDLF LN,標準人壽公開有限公司,650000,4.643,2.54
ABN NA,荷蘭銀行公眾有限公司,140000,4.033,2.21
BOCHGR GA,賽普勒斯銀行控股公開有限公司,540000,3.769,2.06
AGN NA,荷蘭保險公司,680000,3.508,1.92
AV/ LN,英傑華保險,630000,3.409,1.86
TPEIR GA,Piraeus Bank SA,475000,3.193,1.75
ADM LN,Admiral集團公開有限公司,105000,2.974,1.63
NWG LN,國民西敏集團公開有限公司,540000,2.843,1.56
DBK GY,德意志銀行,130000,2.725,1.49
MNG LN,M&G公開有限公司,1000000,2.538,1.39
LLOY LN,勞埃德銀行集團,3000000,2.489,1.36
ASRNL NA,ASR荷蘭公眾有限公司,45000,2.159,1.18
BAMI IM,BPM銀行股份公司,200000,2.157,1.18
JPM US,摩根大通銀行,11000,2.153,1.18
STAN LN,渣打集團有限公司,120000,2.11,1.15
CHYM US,Chime Financial Inc,130000,1.995,1.09
UCG IM,裕信銀行,36000,1.99,1.09
EQH US,公平控股公司,65000,1.97,1.08
BMPS IM,義大利西恩那銀行股份公司,250000,1.969,1.08
GPN US,環匯公司,40000,1.949,1.07
WFC US,富國銀行,40000,1.9,1.04
INGA NA,荷蘭國際集團,90000,1.893,1.04
8411 JP,瑞穗金融集團,60000,1.874,1.02
G IM,忠意保險股份公司,65000,1.861,1.02
055550 KS,新韓金融集團,40000,1.856,1.02
7167 JP,Mebuki金融集團公司,300000,1.855,1.01
BLK US,貝萊德公司,3000,1.846,1.01
CABK SM,凱克薩銀行有限責任公司,200000,1.735,0.95
BNP FP,法國巴黎銀行有限責任公司,24000,1.592,0.87
LGEN LN,法通保險集團公開有限公司,700000,1.591,0.87
AMUN FP,東方匯理資產管理有限責任公司,25000,1.519,0.83
UNI IM,Unipol保險股份公司,85000,1.518,0.83
V US,威士卡,7000,1.468,0.8
MRX US,馬雷克斯集團有限公司,33000,1.37,0.75
ETE GA,希臘國家銀行,120000,1.354,0.74
C US,花旗集團公司,17000,1.301,0.71
HSBA LN,匯豐控股有限公司,110000,1.285,0.7
8331 JP,千葉銀行有限公司,125000,1.258,0.69
HOOD US,羅賓漢市場公司,17000,1.21,0.66
CS FP,安盛有限責任公司,38000,1.087,0.59
ENX FP,泛歐交易所,10000,1.062,0.58
KBC BB,比利時聯合金融集團,12000,1.05,0.57
IBKR US,盈透證券集團公司,19000,1.009,0.55
UBS US,瑞銀集團公司,35000,0.969,0.53
GLE FP,法國興業銀行股份有限公司,20000,0.957,0.52
8377 JP,北北金融集團公司,25000,0.791,0.43
BNY US,紐約梅隆銀行,9000,0.78,0.43
8308 JP,Resona控股公司,80000,0.721,0.39
8309 JP,三井住友信託集團公司,110000,0.715,0.39
BARC LN,巴克萊集團,200000,0.711,0.39
ARES US,戰神管理公司,9000,0.634,0.35
BX US,黑石公司,7500,0.519,0.28
