code,name,shares,weight,market_value_100m
2330,台積電,279000,5.96,6.86
2454,聯發科技,103000,4.56,5.34
3653,健策,77000,4.22,4.49
2059,川湖科技,39000,4.13,4.94
2383,台光電,93000,3.99,4.52
6669,緯穎科技服務,180225,3.24,3.81
3037,欣興,312000,3.09,3.49
7769,鴻勁精密,60000,3.06,3.58
2308,台達電,185000,3.0,3.52
3081,聯亞,101700,2.33,2.87
3702,大聯大,2393000,2.33,2.73
6223,旺矽科技,48000,2.3,2.57
2368,金像電,234000,2.28,2.43
2408,南亞科技,479000,2.11,2.38
6515,穎崴科技,41000,2.1,2.46
2382,廣達電腦,702500,2.05,2.4
3017,奇鋐科技,67000,1.99,2.27
2357,華碩,238000,1.95,2.28
3706,神達投資控股,2674400,1.8,2.1
9941,裕融企業,2487480,1.69,1.98
3008,大立光,31000,1.64,1.99
2345,智邦科技,101000,1.63,1.93
3026,禾伸堂,246000,1.61,1.89
5274,信驊科技,9000,1.56,1.88
2441,超豐,1360000,1.45,1.7
2360,致茂電子,70000,1.39,1.71
5534,長虹建設,2150000,1.36,1.6
2887,台新新光金,3664360,1.34,1.57
3665,貿聯-KY,65000,1.3,1.46
6274,台燿,104000,1.3,1.5
3293,鈊象電子,206000,1.28,1.5
2892,第一金融控股,3651000,1.24,1.45
2884,玉山金融控股,3184000,1.24,1.45
2885,元大金,1958040,1.16,1.36
2886,兆豐金,2700000,1.15,1.35
2880,華南金控,2936388,1.15,1.34
2451,創見,454000,1.1,1.29
2890,永豐金融,2734780,1.05,1.23
6121,新  普,316000,1.02,1.19
2618,長榮航,2764000,1.01,1.18
3227,原相,600000,0.95,1.11
6805,富世達,42000,0.93,1.05
4904,遠傳電信,1008000,0.91,1.06
4746,台耀化學,2076000,0.86,1.01
3090,日電貿,599000,0.84,0.99
6138,茂達電子,351000,0.82,0.96
5439,高技,364000,0.79,0.92
5904,寶雅國際,1285000,0.78,0.91
3529,力旺電子,27000,0.76,0.84
5434,崇越,160000,0.74,0.85
9958,世紀鋼鐵結構,860000,0.68,0.79
4551,智伸科,405000,0.57,0.66
2393,億光電子工業,978000,0.52,0.61
2727,王品餐飲,246000,0.48,0.57
2395,研華,62000,0.37,0.43
