code,name,shares,weight,market_value_100m
2330,台積電,186000,8.63,4.4
2383,台光電,80000,8.37,4.24
2454,聯發科技,74000,5.72,2.9
6669,緯穎科技服務,43000,5.31,2.69
2345,智邦科技,110000,5.23,2.65
3017,奇鋐科技,80000,4.64,2.35
6223,旺矽科技,36000,4.47,2.27
3037,欣興,232000,4.45,2.26
3665,貿聯-KY,81000,3.78,1.92
8046,南電,170000,3.7,1.88
2308,台達電,110000,3.64,1.85
5274,信驊科技,8800,2.91,1.47
7769,鴻勁精密,22000,2.81,1.42
3653,健策,30000,2.63,1.33
3711,日月光投資控股,207000,2.43,1.23
2303,聯電,900000,2.16,1.09
2327,國巨*,190000,2.14,1.08
6274,台燿,68000,2.05,1.04
6515,穎崴科技,13000,1.74,0.88
2368,金像電,85000,1.65,0.84
3583,辛耘,84000,1.22,0.62
8210,勤誠興業,43000,1.05,0.53
4958,臻鼎-KY,107000,1.02,0.52
2360,致茂電子,26000,1.01,0.51
2344,華邦電子,270000,0.91,0.46
2472,立隆電子工業,162000,0.76,0.39
2455,全新,101000,0.74,0.38
3023,信邦,113000,0.72,0.36
8996,高力熱處理工業,32000,0.72,0.36
5289,宜鼎國際,22000,0.7,0.35
2486,一詮精密,150000,0.68,0.34
2885,元大金,493000,0.65,0.33
6187,萬潤,27000,0.63,0.32
3044,健鼎科技,78000,0.61,0.31
7750,新  代,12000,0.56,0.28
3189,景碩科技,31000,0.52,0.26
8150,南茂科技,280000,0.48,0.24
1326,台化,400000,0.46,0.23
3264,欣銓科技,107000,0.45,0.23
3443,創意,5000,0.44,0.22
6438,迅得機械,140000,0.41,0.21
2449,京元電子,80850,0.4,0.2
2313,華通,90000,0.39,0.2
3450,聯鈞,40000,0.39,0.2
6213,聯茂,50000,0.37,0.19
6139,亞翔,19000,0.31,0.16
6805,富世達,9000,0.31,0.16
3131,弘塑科技,6000,0.28,0.14
2467,志聖,27000,0.28,0.14
5536,聖暉*,12000,0.25,0.13
6531,愛普科技,13000,0.23,0.12
3211,順達,30000,0.21,0.11
8358,金居,20000,0.15,0.08
2404,漢唐,5000,0.12,0.06
5439,高技,10000,0.05,0.02
