code,name,shares,weight,market_value_100m
2330,台積電,12134000,9.28,286.97
2383,台光電,4863000,8.34,257.98
2454,聯發科技,5448000,6.9,213.56
3037,欣興,20210000,6.36,196.64
3017,奇鋐科技,5801000,5.51,170.55
6669,緯穎科技服務,2708000,5.49,169.66
2345,智邦科技,6419000,5.0,154.7
6223,旺矽科技,2443000,4.98,153.91
2327,國巨*,25437000,4.69,144.99
3665,貿聯-KY,5130848,3.93,121.6
2308,台達電,6505000,3.53,109.28
2303,聯電,87718000,3.45,106.58
3653,健策,2375000,3.42,105.69
8046,南電,9519000,3.4,105.18
3711,日月光投資控股,17439000,3.35,103.76
6274,台燿,5499000,2.72,84.13
5274,信驊科技,454900,2.46,76.2
2368,金像電,5000000,1.59,49.25
6805,富世達,2053000,1.17,36.13
8210,勤誠興業,2497000,1.0,30.84
2449,京元電子,11295450,0.91,28.13
6187,萬潤,1334000,0.51,15.67
4979,華星光,1874000,0.3,9.15
2360,致茂電子,472000,0.3,9.32
1590,亞德客-KY,528000,0.27,8.24
8996,高力熱處理工業,712000,0.26,8.08
4958,臻鼎-KY,1682000,0.26,8.11
6510,精測,261000,0.24,7.4
6278,台表科,3250000,0.17,5.28
6271,同欣電,2224000,0.14,4.27
2408,南亞科技,940000,0.14,4.31
2049,上銀科技,1080000,0.13,3.91
6191,精成科,3988000,0.11,3.39
3376,新日興,1741000,0.11,3.28
3264,欣銓科技,1508000,0.1,3.19
6515,穎崴科技,23000,0.05,1.56
4966,譜瑞-KY,140000,0.03,0.85
2002,中鋼,5163000,0.03,0.98
8358,金居,1000,0.0,0.0
3661,世芯-KY,1000,0.0,0.04
3443,創意,1000,0.0,0.04
2439,美律,1000,0.0,0.0
3008,大立光,1000,0.0,0.05
2382,廣達電腦,1000,0.0,0.0
3533,嘉澤端子工業,1000,0.0,0.02
6488,環球晶,1000,0.0,0.01
2313,華通,1000,0.0,0.0
8150,南茂科技,1000,0.0,0.0
2317,鴻海精密工業,1000,0.0,0.0
5347,世界先進,1000,0.0,0.0
2481,強茂,5000,0.0,0.01
