code,name,shares,weight,market_value_100m
2330,台積電,279000,5.83,6.75
3702,大聯大,5267000,4.56,5.25
2383,台光電,89000,4.24,4.89
3653,健策,77000,4.01,4.45
2059,川湖科技,32000,3.94,4.58
3706,神達投資控股,4854000,3.9,4.49
2454,聯發科技,96000,3.27,3.83
2441,超豐,2890000,2.9,3.34
2308,台達電,175000,2.8,3.2
6669,緯穎科技服務,45000,2.77,3.24
3081,聯亞,84700,2.6,2.8
7769,鴻勁精密,50000,2.55,2.93
3037,欣興,262000,2.27,2.91
2408,南亞科技,479000,2.26,2.59
2368,金像電,219000,2.22,2.47
2382,廣達電腦,702500,2.07,2.38
2357,華碩,238000,2.07,2.38
9941,裕融企業,2674000,2.02,2.32
6515,穎崴科技,33000,1.8,2.06
2345,智邦科技,101000,1.79,2.15
6223,旺矽科技,40000,1.78,2.01
3017,奇鋐科技,56000,1.67,1.88
3026,禾伸堂,246000,1.59,1.83
2887,台新新光金,4752360,1.59,1.83
5534,長虹建設,2382000,1.56,1.8
2885,元大金,2615040,1.49,1.67
2395,研華,251000,1.48,1.68
2886,兆豐金,3219000,1.36,1.56
5274,信驊科技,9000,1.26,1.41
3665,貿聯-KY,65000,1.23,1.47
2360,致茂電子,70000,1.19,1.41
2393,億光電子工業,2056000,1.18,1.36
2892,第一金融控股,3651000,1.12,1.29
2884,玉山金融控股,3184000,1.1,1.27
3008,大立光,16000,1.06,1.13
2880,華南金控,2936388,1.05,1.21
6805,富世達,51000,1.02,1.2
2451,創見,393000,1.01,1.16
2890,永豐金融,2734780,0.98,1.12
4746,台耀化學,2276000,0.96,1.11
6274,台燿,75000,0.93,1.12
3293,鈊象電子,144000,0.91,1.02
2727,王品餐飲,401000,0.82,0.94
6138,茂達電子,284000,0.72,0.83
5434,崇越,160000,0.72,0.85
5904,寶雅國際,1077000,0.7,0.81
8210,勤誠興業,78000,0.66,0.77
3227,原相,361000,0.6,0.69
4904,遠傳電信,650000,0.57,0.66
3090,日電貿,363000,0.55,0.64
9958,世紀鋼鐵結構,685000,0.54,0.62
6121,新  普,146000,0.51,0.59
4551,智伸科,313000,0.43,0.5
5439,高技,160000,0.37,0.43
2618,長榮航,956000,0.35,0.4
3711,日月光投資控股,39000,0.2,0.24
6435,大中,65000,0.14,0.16
9939,宏全國際,124000,0.14,0.16
