code,name,shares,weight,market_value_100m
LITE US,魯門特姆控股公司,117000,6.37,1.07
3037,欣興,2600000,4.87,25.97
009150 KS,三星電機,70000,4.38,1008.7
2383,台光電,420000,4.32,23.04
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.64,0.61
6981 JP,村田製作所有限公司,1350000,3.62,97.08
MU US,美光科技公司,60000,3.42,0.58
PANW US,Palo Alto Networks Inc,150000,3.41,0.57
BE US,布魯姆能源公司,250000,3.07,0.52
CRDO US,Credo科技集團控股有限公司,225000,3.03,0.51
STX US,希捷科技控股公開有限公司,60000,2.96,0.5
2330,台積電,650000,2.93,15.63
CRCL US,Circle網路集團公司,480000,2.73,0.46
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.65,0.44
SPCX US,太空探索科技公司,300000,2.57,0.43
SNOW US,Snowflake公司,130000,2.56,0.43
PLTR US,帕蘭提爾科技公司,225000,2.5,0.42
2308,台達電,720000,2.49,13.25
3017,奇鋐科技,365000,2.35,12.5
6223,旺矽科技,242000,2.33,12.41
285A JP,鎧俠控股公司,110000,2.05,54.99
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.78,2.01
6871 JP,MICRONICS JAPAN CO LTD,370000,1.77,47.51
IFX GY,英飛凌科技股份有限公司,425000,1.65,0.24
COHR US,連貫公司,95000,1.57,0.26
MSFT US,微軟,50000,1.51,0.25
2454,聯發科技,200000,1.47,7.85
4979,華星光,1235000,1.41,7.52
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.39,37.44
MPWR US,芯源系統有限公司,18000,1.36,0.23
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,170000,1.33,1.75
NOW US,ServiceNow公司,150000,1.32,0.22
NET US,Cloudflare公司,70000,1.27,0.21
SNDK US,晟碟公司（德拉瓦州）,13000,1.21,0.2
TER US,泰瑞達公司,55000,1.15,0.19
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.09,1.23
000660 KS,SK HYNIX INC,15000,1.08,247.95
FORM US,FORMFACTOR INC,150454,0.9,0.15
TWLO US,Twilio公司,55000,0.77,0.13
HOOD US,羅賓漢市場公司,120000,0.75,0.13
5801 JP,古河電氣工業有限公司,500000,0.75,20.1
AEM US,AGNICO EAGLE MINES LTD,60000,0.73,0.12
DASH US,DOORDASH INC - A,50000,0.69,0.12
4180 JP,APPIER GROUP INC,950000,0.51,13.65
AIXA GY,愛思強股份有限公司,200000,0.49,0.07
NTRA US,那提拉公司,25000,0.48,0.08
095340 KS,ISC CO LTD,50000,0.37,85.25
6274,台燿,130000,0.35,1.87
