code,name,shares,weight,market_value_100m
2330,台積電,319999,15.45,7.71
2383,台光電,75000,7.73,3.62
2454,聯發科技,92001,7.12,3.38
8046,南電,236000,6.19,2.81
3037,欣興,313001,5.71,2.58
2345,智邦科技,101000,4.64,2.24
6223,旺矽科技,35901,4.33,2.11
6274,台燿,158000,4.3,1.95
2327,國巨*,301000,4.25,2.02
3017,奇鋐科技,82500,3.76,1.91
3711,日月光投資控股,261002,3.44,1.65
2059,川湖科技,21001,3.43,1.67
2308,台達電,74499,2.82,1.37
2408,南亞科技,284000,2.54,1.15
5274,信驊科技,7920,2.47,1.12
2368,金像電,116000,2.19,1.14
6669,緯穎科技服務,17000,1.88,0.85
2360,致茂電子,41000,1.75,0.83
3443,創意,19050,1.67,0.78
7769,鴻勁精密,11000,1.42,0.71
6488,環球晶,54000,1.35,0.65
4958,臻鼎-KY,116000,1.3,0.59
3665,貿聯-KY,25000,1.06,0.5
6515,穎崴科技,8000,1.05,0.53
2303,聯電,360000,1.01,0.48
6257,矽格,180000,0.81,0.4
5347,世界先進,210000,0.72,0.36
3231,緯創資通,161000,0.53,0.26
2449,京元電子,80000,0.47,0.24
1303,南亞,80000,0.33,0.16
3081,聯亞,1000,0.03,0.02
2404,漢唐,1000,0.02,0.01
2412,中華電信,1,0.0,0.0
4904,遠傳電信,2003,0.0,0.0
3045,台灣大哥,2000,0.0,0.0
2467,志聖,10,0.0,0.0
