code,name,shares,weight,market_value_100m
2330,台積電,308000,5.95,7.05
2059,川湖科技,69000,4.41,5.44
2383,台光電,99000,3.83,4.45
2454,聯發科技,129000,3.79,4.35
3711,日月光投資控股,712000,3.61,4.37
2308,台達電,237000,3.48,4.12
7769,鴻勁精密,62000,3.23,3.76
3653,健策,95000,2.68,3.34
2368,金像電,280000,2.2,2.6
6223,旺矽科技,42000,1.98,2.35
6515,穎崴科技,36000,1.92,2.18
2408,南亞科技,587000,1.9,2.32
2345,智邦科技,103000,1.83,2.15
2887,台新新光金,5894360,1.64,2.1
3081,聯亞,128700,1.56,1.95
2885,元大金,2926000,1.44,1.9
2357,華碩,242000,1.43,1.78
2360,致茂電子,88000,1.42,1.63
2886,兆豐金,3649000,1.42,1.77
6669,緯穎科技服務,34000,1.36,1.57
5534,長虹建設,2069000,1.34,1.67
2393,億光電子工業,2419000,1.31,1.61
9938,台灣百和工業,3414000,1.3,1.63
3037,欣興,195000,1.29,1.55
2890,永豐金融,3939000,1.27,1.58
9941,裕融企業,1866000,1.25,1.56
5274,信驊科技,11000,1.24,1.42
2204,中華,2641000,1.19,1.48
2727,王品餐飲,647000,1.17,1.46
3026,禾伸堂,213000,1.16,1.45
2382,廣達電腦,443500,1.15,1.44
5439,高技,560000,1.15,1.44
2395,研華,251000,1.14,1.3
2892,第一金融控股,3940000,1.09,1.36
6121,新  普,366000,1.09,1.36
6274,台燿,109000,1.08,1.28
8210,勤誠興業,112000,1.05,1.23
3665,貿聯-KY,65000,1.04,1.15
3017,奇鋐科技,56000,1.04,1.23
3706,神達投資控股,1387000,1.01,1.27
6805,富世達,89000,1.01,1.2
4904,遠傳電信,1226000,1.0,1.26
6435,大中,437000,1.0,1.25
2880,華南金控,3050800,1.0,1.24
3702,大聯大,1079000,0.96,1.18
4746,台耀化學,2276000,0.95,1.19
6138,茂達電子,368000,0.94,1.07
9939,宏全國際,886000,0.94,1.17
2884,玉山金融控股,3184000,0.94,1.18
3293,鈊象電子,164000,0.94,1.16
5904,寶雅國際,177000,0.9,1.09
5434,崇越,198000,0.87,1.08
2451,創見,457000,0.86,1.05
9945,潤泰創新國際,3964000,0.85,1.06
9958,世紀鋼鐵結構,886000,0.82,1.02
2441,超豐,799000,0.8,0.99
3227,原相,460000,0.71,0.84
6670,復盛應用科技,334000,0.7,0.87
9802,鈺齊國際,1040000,0.62,0.78
4551,智伸科,398000,0.58,0.73
6768,志強國際企業,911000,0.51,0.63
3090,日電貿,363000,0.51,0.64
6782,視陽,308000,0.48,0.6
2618,長榮航,1366000,0.46,0.56
9907,統一實,3470000,0.43,0.53
4915,致伸科技,504000,0.27,0.33
1319,東陽,405000,0.24,0.3
3592,瑞鼎科技,124000,0.23,0.28
