code,name,shares,weight,market_value_100m
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,6.1,1.03
MU US,美光科技公司,96000,4.91,0.83
009150 KS,三星電機,83000,4.41,1105.56
AMAT US,應用材料,135000,4.19,0.71
BE US,布魯姆能源公司,310000,3.61,0.61
6981 JP,村田製作所有限公司,1250000,3.47,95.4
285A JP,鎧俠控股公司,180000,3.41,93.8
3037,欣興,2400000,3.29,18.0
2330,台積電,750000,3.18,17.4
2383,台光電,370000,2.98,16.26
SNDK US,晟碟公司（德拉瓦州）,35000,2.87,0.49
2327,國巨*,2400000,2.77,15.12
2454,聯發科技,445000,2.72,14.86
IFX GY,英飛凌科技股份有限公司,625000,2.7,0.4
8035 JP,TOKYO ELECTRON LTD,110000,2.6,71.61
6976 JP,TAIYO YUDEN CO LTD,600000,2.41,66.21
3436 JP,SUMCO CORP,1572000,2.24,61.53
CRDO US,Credo科技集團控股有限公司,160000,2.0,0.34
6920 JP,LASERTEC CORP,130000,1.98,54.46
3711,日月光投資控股,1800000,1.97,10.75
KLAC US,科磊公司,160000,1.96,0.33
FTNT US,防特網公司,200000,1.89,0.32
PANW US,Palo Alto Networks Inc,90000,1.85,0.31
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.73,0.29
LITE US,魯門特姆控股公司,37000,1.67,0.28
NOW US,ServiceNow公司,270000,1.67,0.28
6871 JP,MICRONICS JAPAN CO LTD,300000,1.52,41.91
VECO US,VEECO INSTRUMENTS INC,500000,1.5,0.25
MRVL US,MARVELL TECHNOLOGY INC,130000,1.5,0.25
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.47,40.29
6223,旺矽科技,145000,1.45,7.91
WDC US,威騰電子公司,50000,1.44,0.24
2303,聯電,6000000,1.43,7.8
TSEM US,TOWER SEMICONDUCTOR LTD,105000,1.41,0.24
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,0.62,0.71
2308,台達電,175000,0.55,2.98
AIXA GY,愛思強股份有限公司,200000,0.53,0.08
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,599909,0.48,0.55
3017,奇鋐科技,115000,0.45,2.46
4062 JP,揖斐電有限公司,60000,0.34,9.41
6278 JP,UNION TOOL CO,30000,0.19,5.17
