code,name,shares,weight,market_value_100m
2330,台積電,588000,13.85,13.94
2027,大成鋼,10802000,5.06,5.11
2376,技嘉,1015000,3.51,3.49
2412,中華電信,2587000,3.49,3.56
4904,遠傳電信,3474000,3.49,3.58
6669,緯穎科技服務,49000,2.91,2.99
2603,長榮海運,1344000,2.85,2.88
6187,萬潤,261000,2.81,2.84
3008,大立光,63000,2.74,2.77
2383,台光電,52000,2.72,2.72
2345,智邦科技,124000,2.66,2.75
6446,藥華醫藥,195000,2.57,2.42
2408,南亞科技,447000,2.22,2.04
6442,光紅建聖,148000,2.09,2.11
3081,聯亞,83000,2.08,2.1
4958,臻鼎-KY,443000,2.06,2.1
8996,高力熱處理工業,187000,1.99,1.95
2454,聯發科技,50000,1.96,1.95
2059,川湖科技,16000,1.88,1.78
3017,奇鋐科技,68000,1.86,1.89
3036,文曄,788000,1.79,1.8
3037,欣興,160000,1.57,1.53
6147,頎邦,1019000,1.55,1.57
2610,華航,6826000,1.38,1.4
3653,健策,32000,1.31,1.32
3131,弘塑科技,49000,1.2,1.21
7769,鴻勁精密,18000,1.12,1.13
2344,華邦電子,611000,1.09,1.0
8299,群聯電子,53000,1.07,1.07
1216,統一企業,1303000,0.97,0.98
2368,金像電,98000,0.9,0.96
3711,日月光投資控股,125000,0.78,0.73
2049,上銀科技,175000,0.67,0.68
3105,穩懋,149000,0.57,0.57
2308,台達電,30000,0.54,0.49
8046,南電,48000,0.54,0.52
2303,聯電,413000,0.5,0.48
2327,國巨*,89000,0.5,0.48
3665,貿聯-KY,17000,0.37,0.37
2395,研華,50000,0.33,0.32
6223,旺矽科技,5000,0.31,0.3
3529,力旺電子,10000,0.28,0.27
1802,台玻,393000,0.21,0.21
2881,富邦金融控股,154000,0.2,0.2
2891,中國信託金融控股,306000,0.2,0.2
2317,鴻海精密工業,64000,0.17,0.17
2360,致茂電子,5000,0.1,0.1
6488,環球晶,10000,0.08,0.09
6415,矽力杰,6000,0.03,0.03
3189,景碩科技,2000,0.02,0.02
