code,name,shares,weight,market_value_100m
ABN NA,荷蘭銀行公眾有限公司,153500,5.935,2.27
NWG LN,國民西敏集團公開有限公司,620000,5.016,1.92
TPEIR GA,Piraeus Bank SA,500000,4.842,1.85
LLOY LN,勞埃德銀行集團,3700000,4.839,1.85
BARC LN,巴克萊集團,800000,4.688,1.79
STAN LN,渣打集團有限公司,140000,3.528,1.35
GLE FP,法國興業銀行股份有限公司,43000,3.512,1.34
BMPS IM,義大利西恩那銀行股份公司,300000,3.474,1.33
BAC US,美國銀行,65000,3.468,1.33
BAMI IM,BPM銀行股份公司,200000,3.31,1.27
UNI IM,Unipol保險股份公司,110000,3.035,1.16
UCG IM,裕信銀行,35000,2.875,1.1
JPM US,摩根大通銀行,9000,2.717,1.04
DBK GY,德意志銀行,83000,2.657,1.02
UBS US,瑞銀集團公司,58000,2.633,1.01
ADM LN,Admiral集團公開有限公司,58000,2.56,0.98
7167 JP,Mebuki金融集團公司,300000,2.527,0.97
BNP FP,法國巴黎銀行有限責任公司,23000,2.517,0.96
AMUN FP,東方匯理資產管理有限責任公司,25000,2.354,0.9
SDLF LN,標準人壽公開有限公司,220000,2.352,0.9
BNY US,紐約梅隆銀行,17000,2.263,0.87
PFG US,信安金融保險集團,20000,1.915,0.73
HSBA LN,匯豐控股有限公司,110000,1.91,0.73
V US,威士卡,6200,1.898,0.73
ETE GA,希臘國家銀行,120000,1.89,0.72
USB US,美國合眾銀行,35000,1.89,0.72
LGEN LN,法通保險集團公開有限公司,500000,1.797,0.69
INGA NA,荷蘭國際集團,60000,1.78,0.68
8331 JP,千葉銀行有限公司,125000,1.777,0.68
8377 JP,北北金融集團公司,35000,1.503,0.57
AV/ LN,英傑華保險,185000,1.497,0.57
RELY US,Remitly全球公司,72000,1.485,0.57
8309 JP,三井住友信託集團公司,162000,1.451,0.56
MRX US,馬雷克斯集團有限公司,25000,1.284,0.49
8308 JP,Resona控股公司,100000,1.233,0.47
AJG US,Arthur J Gallagher & Co,5000,1.048,0.4
7182 JP,日本郵政銀行有限公司,60000,1.02,0.39
8411 JP,瑞穗金融集團,21500,0.968,0.37
7180 JP,九州金融集團公司,100000,0.794,0.3
