code,name,shares,weight,market_value_100m
2330,台積電,1794000,8.8656,42.61
2454,聯發科技,872000,6.7768,32.26
6669,緯穎科技服務,510000,6.5413,32.26
6139,亞翔,3828000,5.9813,29.32
2059,川湖科技,185000,5.0776,25.76
2383,台光電,320000,3.7271,19.15
3105,穩懋,4809000,3.6782,17.94
2360,致茂電子,844000,3.6344,18.06
6223,旺矽科技,307000,3.4403,17.35
2345,智邦科技,817000,3.4092,17.2
6531,愛普科技,1650000,2.9875,14.55
3008,大立光,257000,2.9564,14.17
4958,臻鼎-KY,3178000,2.8738,14.71
3491,昇達科,1000000,2.6247,12.85
3017,奇鋐科技,379000,2.2265,11.31
6488,環球晶,1117000,2.1553,11.09
3583,辛耘,1158000,1.6716,8.15
3264,欣銓科技,3985000,1.6588,8.31
6274,台燿,434000,1.3304,6.84
2455,全新,1572000,1.3087,6.38
6214,精誠,3504000,1.2897,6.29
5483,中美晶,3533000,1.275,6.22
2377,微星,4386000,1.2726,6.14
2303,聯電,5285000,1.2625,6.1
2376,技嘉,1800000,1.253,6.11
3231,緯創資通,3432000,1.235,6.02
2301,光寶科技,2289000,1.225,6.11
2428,興勤電子工業,2356000,1.2246,5.97
2395,研華,901000,1.199,6.06
3265,台星科股份有限公司,3472000,1.1925,5.82
3711,日月光投資控股,959000,1.1543,5.66
3090,日電貿,3396000,1.149,5.6
2467,志聖,1000000,1.1483,5.6
2478,大毅,4484000,1.1355,5.54
5274,信驊科技,35900,1.1299,5.65
8996,高力熱處理工業,382000,0.8538,4.34
5536,聖暉*,459000,0.8282,4.04
6472,保瑞,516000,0.4814,2.35
2486,一詮精密,950000,0.4743,2.38
3529,力旺電子,93000,0.4109,2.06
6239,力成科技,710000,0.3894,1.9
6213,聯茂,321000,0.3376,1.65
3617,碩天,603000,0.3208,1.56
6196,帆宣,310000,0.3117,1.52
2476,鉅祥,1303000,0.3112,1.52
6672,騰輝電子-KY,546000,0.2994,1.46
2885,元大金,2213556,0.2904,1.37
8070,長華*,2871000,0.2872,1.4
5425,台半,1544000,0.2792,1.36
6446,藥華醫藥,42000,0.1205,0.58
6177,達麗,194350,0.0189,0.09
3443,創意,1000,0.0114,0.06
8046,南電,1000,0.0023,0.01
4441,振大環球,4000,0.0014,0.01
1519,華城電機,660,0.0009,0.0
8358,金居,1000,0.0008,0.0
3706,神達投資控股,1400,0.0002,0.0
2886,兆豐金,1000,0.0,0.0
2881,富邦金融控股,250,0.0,0.0
