code,name,shares,weight,market_value_100m
2330,台積電,588000,14.45,13.94
2059,川湖科技,50000,4.48,4.32
2027,大成鋼,9445000,4.35,4.2
2376,技嘉,1170000,3.94,3.8
2303,聯電,2899000,3.55,3.42
2327,國巨*,600000,3.43,3.31
6442,光紅建聖,255000,3.36,3.24
3008,大立光,81000,3.33,3.21
6187,萬潤,319000,3.32,3.21
3036,文曄,1533000,3.25,3.13
2345,智邦科技,124000,3.0,2.9
2408,南亞科技,671000,2.76,2.66
2383,台光電,52000,2.69,2.59
6147,頎邦,1656000,2.33,2.24
2454,聯發科技,50000,2.03,1.96
4958,臻鼎-KY,443000,1.94,1.87
6669,緯穎科技服務,26000,1.6,1.54
6446,藥華醫藥,128000,1.55,1.49
3081,聯亞,83000,1.54,1.49
2395,研華,249000,1.49,1.43
2412,中華電信,940000,1.35,1.31
4904,遠傳電信,1242000,1.33,1.29
3653,健策,32000,1.25,1.21
3131,弘塑科技,49000,1.23,1.19
3293,鈊象電子,146000,1.17,1.13
3017,奇鋐科技,42000,1.11,1.07
3661,世芯-KY,30000,1.01,0.97
1216,統一企業,1303000,0.99,0.95
2308,台達電,59000,0.97,0.93
8299,群聯電子,53000,0.97,0.93
3665,貿聯-KY,43000,0.93,0.9
2344,華邦電子,611000,0.91,0.87
2368,金像電,98000,0.89,0.85
3711,日月光投資控股,125000,0.79,0.76
3037,欣興,76000,0.68,0.66
2049,上銀科技,175000,0.6,0.58
2891,中國信託金融控股,771000,0.52,0.5
2881,富邦金融控股,363000,0.49,0.47
3105,穩懋,149000,0.48,0.46
8046,南電,48000,0.47,0.46
2360,致茂電子,22000,0.45,0.43
6488,環球晶,45000,0.4,0.39
6223,旺矽科技,5000,0.3,0.29
6415,矽力杰,63000,0.28,0.27
7769,鴻勁精密,4000,0.27,0.26
3529,力旺電子,10000,0.25,0.24
8996,高力熱處理工業,23000,0.22,0.22
1802,台玻,393000,0.19,0.19
2317,鴻海精密工業,64000,0.17,0.16
3189,景碩科技,2000,0.01,0.01
