code,name,shares,weight,market_value_100m
2330,台積電,308000,21.8992,7.35
2454,聯發科技,51500,6.5634,2.2
3711,日月光投資控股,196000,3.4416,1.15
2383,台光電,18000,2.9219,0.98
2303,聯電,722000,2.712,0.91
5274,信驊科技,4840,2.5575,0.86
2382,廣達電腦,223000,2.2404,0.75
2379,瑞昱,98000,2.1736,0.73
2885,元大金,1073960,2.1355,0.72
3034,聯詠,128000,2.072,0.7
2308,台達電,36000,1.8567,0.62
2441,超豐,527000,1.8225,0.61
4763,濟南大自然新材料股份有限公司,1175000,1.804,0.61
6196,帆宣,119000,1.7454,0.59
2301,光寶科技,184000,1.7279,0.58
2845,遠東國際商業銀行股份有限公司,4418173,1.7123,0.57
6139,亞翔,78000,1.6766,0.56
2458,義隆,407000,1.6623,0.56
5434,崇越,104000,1.6587,0.56
2059,川湖科技,4000,1.6534,0.55
3702,大聯大,532000,1.6177,0.54
3135,凌航科技股份有限公司,301732,1.5832,0.53
2395,研華,76000,1.5679,0.53
3260,威剛科技,108000,1.3281,0.45
3264,欣銓科技,188000,1.3087,0.44
2637,慧洋-KY,410000,1.1771,0.39
2428,興勤電子工業,156000,1.165,0.39
3017,奇鋐科技,11000,1.0854,0.36
2890,永豐金融,828500,1.0411,0.35
6223,旺矽科技,6500,1.0251,0.34
2439,美律,426000,0.9944,0.33
8081,致新,114000,0.8751,0.29
1303,南亞,112000,0.793,0.27
2345,智邦科技,12000,0.7656,0.26
2317,鴻海精密工業,95000,0.7109,0.24
2347,聯強,272000,0.7087,0.24
2887,台新新光金,562150,0.6905,0.23
3037,欣興,23000,0.6672,0.22
2360,致茂電子,11000,0.6477,0.22
2351,順德,81000,0.553,0.19
6491,晶碩,46000,0.5403,0.18
3443,創意,3000,0.5272,0.18
5904,寶雅國際,232000,0.5077,0.17
3293,鈊象電子,23000,0.4855,0.16
4904,遠傳電信,156000,0.4767,0.16
2027,大成鋼,307000,0.4535,0.15
8271,宇瞻科技,37000,0.2487,0.08
6257,矽格,37000,0.2383,0.08
6691,洋基工程股份有限公司,12600,0.228,0.08
8016,矽創,23000,0.2023,0.07
6446,藥華醫藥,2000,0.0778,0.03
5871,中租-KY,10800,0.0364,0.01
