code,name,shares,weight,market_value_100m
2330,台積電,1196000,8.51,28.52
2383,台光電,325000,5.29,17.7
2454,聯發科技,395000,5.05,16.89
3017,奇鋐科技,362000,3.58,11.98
2345,智邦科技,530000,3.39,11.34
3037,欣興,1141000,3.32,11.1
2059,川湖科技,80000,3.32,11.09
6223,旺矽科技,204000,3.23,10.79
5274,信驊科技,59000,3.13,10.46
6669,緯穎科技服務,396711,3.1,10.35
8046,南電,820000,2.94,9.84
3653,健策,151000,2.61,8.71
3443,創意,136000,2.4,8.02
2308,台達電,463000,2.4,8.01
6274,台燿,458000,1.93,6.46
3665,貿聯-KY,294000,1.91,6.38
2368,金像電,466000,1.64,5.48
2327,國巨*,1012000,1.63,5.46
6510,精測,152000,1.56,5.22
7769,鴻勁精密,77000,1.32,4.4
3711,日月光投資控股,626000,1.1,3.69
2449,京元電子,1310000,1.06,3.54
2303,聯電,2650000,1.0,3.34
2360,致茂電子,164000,0.97,3.24
3008,大立光,40000,0.93,3.12
4958,臻鼎-KY,479000,0.73,2.43
2486,一詮精密,837000,0.72,2.41
6488,環球晶,228000,0.66,2.2
3491,昇達科,150000,0.65,2.17
6187,萬潤,160000,0.64,2.14
8996,高力熱處理工業,152000,0.58,1.92
3450,聯鈞,315000,0.57,1.9
1326,台化,2500000,0.54,1.82
3081,聯亞,52000,0.53,1.77
3189,景碩科技,208000,0.53,1.76
2344,華邦電子,973000,0.52,1.74
6515,穎崴科技,24000,0.51,1.69
2317,鴻海精密工業,600000,0.45,1.51
2886,兆豐金,2500000,0.37,1.23
2885,元大金,1788000,0.36,1.19
8358,金居,235000,0.35,1.18
3167,大量,150000,0.35,1.16
3105,穩懋,216000,0.3,1.01
1303,南亞,395000,0.28,0.94
6805,富世達,44000,0.28,0.93
2395,研華,121000,0.25,0.84
2455,全新,155000,0.25,0.84
6285,啟碁科技,323000,0.24,0.79
6531,愛普科技,80000,0.23,0.77
3260,威剛科技,180000,0.22,0.74
8210,勤誠興業,71000,0.21,0.69
6213,聯茂,110000,0.18,0.59
3583,辛耘,78000,0.18,0.59
3131,弘塑科技,24000,0.17,0.58
6139,亞翔,72000,0.16,0.52
8150,南茂科技,455000,0.12,0.41
2472,立隆電子工業,191000,0.12,0.41
5289,宜鼎國際,26517,0.11,0.38
6196,帆宣,60000,0.09,0.3
6138,茂達電子,80000,0.07,0.23
