code,name,shares,weight,market_value_100m
LITE US,魯門特姆控股公司,117000,6.2,1.02
3037,欣興,2600000,4.86,25.25
2383,台光電,420000,4.56,23.69
009150 KS,三星電機,70000,4.36,980.7
6981 JP,村田製作所有限公司,1350000,3.75,98.42
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.64,0.6
MU US,美光科技公司,60000,3.42,0.56
PANW US,Palo Alto Networks Inc,150000,3.31,0.54
BE US,布魯姆能源公司,250000,3.26,0.53
STX US,希捷科技控股公開有限公司,60000,2.99,0.49
CRDO US,Credo科技集團控股有限公司,225000,2.84,0.46
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.63,0.43
CRCL US,Circle網路集團公司,480000,2.62,0.43
SPCX US,太空探索科技公司,300000,2.6,0.43
2308,台達電,720000,2.59,13.43
2330,台積電,550000,2.58,13.42
SNOW US,Snowflake公司,130000,2.54,0.42
6223,旺矽科技,242000,2.52,13.09
PLTR US,帕蘭提爾科技公司,225000,2.47,0.4
3017,奇鋐科技,365000,2.4,12.45
285A JP,鎧俠控股公司,110000,2.14,56.1
MSFT US,微軟,66000,2.02,0.33
NOW US,ServiceNow公司,230000,2.0,0.33
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.73,1.91
IFX GY,英飛凌科技股份有限公司,425000,1.67,0.24
2454,聯發科技,200000,1.66,8.63
COHR US,連貫公司,95000,1.58,0.26
4979,華星光,1235000,1.43,7.41
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.43,37.44
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,170000,1.37,1.76
MPWR US,芯源系統有限公司,18000,1.35,0.22
NET US,Cloudflare公司,70000,1.22,0.2
SNDK US,晟碟公司（德拉瓦州）,13000,1.22,0.2
TER US,泰瑞達公司,55000,1.13,0.18
000660 KS,SK HYNIX INC,15000,1.1,247.8
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.03,1.13
FORM US,FORMFACTOR INC,150454,0.88,0.14
6871 JP,MICRONICS JAPAN CO LTD,185000,0.87,22.87
TWLO US,Twilio公司,55000,0.77,0.13
HOOD US,羅賓漢市場公司,120000,0.76,0.12
5801 JP,古河電氣工業有限公司,500000,0.74,19.29
AEM US,AGNICO EAGLE MINES LTD,60000,0.71,0.12
DASH US,DOORDASH INC - A,50000,0.69,0.11
4180 JP,APPIER GROUP INC,950000,0.51,13.48
AIXA GY,愛思強股份有限公司,200000,0.5,0.07
NTRA US,那提拉公司,25000,0.49,0.08
6274,台燿,130000,0.36,1.89
095340 KS,ISC CO LTD,11006,0.08,17.18
