code,name,shares,weight,market_value_100m
2454,聯發科技,480000,8.2248,22.61
3443,創意,364000,7.8924,21.69
6223,旺矽科技,323000,6.8095,18.72
3017,奇鋐科技,468000,5.5929,15.37
3037,欣興,1570000,5.4489,14.98
3653,健策,260000,5.2496,14.43
3665,貿聯-KY,665000,4.6812,12.87
2368,金像電,1127000,4.4075,12.12
2383,台光電,212000,4.1185,11.32
5274,信驊科技,54300,3.7967,10.44
2345,智邦科技,529000,3.7624,10.34
6510,精測,245000,3.2265,8.87
7769,鴻勁精密,120000,3.0428,8.36
8046,南電,739000,2.7556,7.57
6531,愛普科技,750000,2.5402,6.98
4991,環宇-KY,1200000,2.1522,5.92
6805,富世達,271000,2.1246,5.84
2059,川湖科技,42000,1.913,5.26
3081,聯亞,158400,1.6509,4.54
2330,台積電,179000,1.6084,4.42
7734,印能科技,150000,1.5879,4.37
6274,台燿,306000,1.4972,4.12
3131,弘塑科技,152000,1.457,4.01
6669,緯穎科技服務,149139,1.2696,3.49
8996,高力熱處理工業,282000,1.2567,3.45
3450,聯鈞,650000,1.2461,3.43
6187,萬潤,198000,0.9976,2.74
6278,台表科,1400000,0.96,2.64
6515,穎崴科技,23000,0.6442,1.77
2308,台達電,94000,0.6172,1.7
8210,勤誠興業,168000,0.5543,1.52
6831,邁科科技,250000,0.5093,1.4
6488,環球晶,110000,0.3821,1.05
6285,啟碁科技,400000,0.3434,0.94
6526,達發,146000,0.3415,0.94
4749,新應材,95000,0.2695,0.74
5347,世界先進,211000,0.1166,0.32
4576,大銀微系統,72000,0.0616,0.17
2449,京元電子,42650,0.0416,0.11
2303,聯電,78000,0.0388,0.11
3163,波若威,13300,0.0351,0.1
3264,欣銓科技,34000,0.0278,0.08
8021,尖點,10000,0.0163,0.04
3661,世芯-KY,1000,0.0146,0.04
2395,研華,5000,0.0119,0.03
3711,日月光投資控股,3000,0.0067,0.02
3533,嘉澤端子工業,1000,0.0058,0.02
3491,昇達科,1000,0.0054,0.01
1590,亞德客-KY,1000,0.0048,0.01
8028,昇陽半導體,1000,0.0008,0.0
