code,name,shares,weight,market_value_100m
LITE US,魯門特姆控股公司,117000,5.89,1.01
3037,欣興,2600000,5.14,28.21
2383,台光電,445000,4.6,25.28
MU US,美光科技公司,70000,3.93,0.68
009150 KS,三星電機,70000,3.86,922.6
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.57,0.62
285A JP,鎧俠控股公司,180000,3.57,97.78
6981 JP,村田製作所有限公司,1350000,3.5,95.73
PANW US,Palo Alto Networks Inc,150000,3.12,0.54
CRDO US,Credo科技集團控股有限公司,225000,3.01,0.52
STX US,希捷科技控股公開有限公司,60000,2.96,0.51
2330,台積電,650000,2.85,15.66
MRVL US,MARVELL TECHNOLOGY INC,205000,2.82,0.49
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.8,0.48
SNOW US,Snowflake公司,130000,2.51,0.43
BE US,布魯姆能源公司,210000,2.46,0.42
6223,旺矽科技,242000,2.41,13.23
SPCX US,太空探索科技公司,300000,2.39,0.41
2308,台達電,720000,2.3,12.6
2454,聯發科技,300000,2.07,11.37
CRCL US,Circle網路集團公司,400000,2.04,0.35
SNDK US,晟碟公司（德拉瓦州）,21000,1.95,0.34
PLTR US,帕蘭提爾科技公司,180000,1.88,0.32
6871 JP,MICRONICS JAPAN CO LTD,370000,1.85,50.65
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.72,1.99
IFX GY,英飛凌科技股份有限公司,425000,1.62,0.24
COHR US,連貫公司,95000,1.6,0.28
2327,國巨*,1550000,1.56,8.59
3017,奇鋐科技,275000,1.44,7.88
MPWR US,芯源系統有限公司,18000,1.38,0.24
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.28,35.03
TER US,泰瑞達公司,55000,1.2,0.21
000660 KS,SK HYNIX INC,15000,1.11,264.15
WDC US,威騰電子公司,40000,1.07,0.18
3711,日月光投資控股,1000000,1.07,5.87
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.05,1.22
FORM US,FORMFACTOR INC,150454,1.0,0.17
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,0.93,1.25
NET US,Cloudflare公司,45000,0.77,0.13
AEM US,AGNICO EAGLE MINES LTD,60000,0.75,0.13
TWLO US,Twilio公司,55000,0.72,0.12
5801 JP,古河電氣工業有限公司,500000,0.7,19.09
AIXA GY,愛思強股份有限公司,200000,0.51,0.08
4979,華星光,450000,0.47,2.6
4180 JP,APPIER GROUP INC,950000,0.45,12.4
AEHR US,AEHR TEST SYSTEMS,70000,0.41,0.07
095340 KS,ISC CO LTD,50000,0.33,78.45
