code,name,shares,weight,market_value_100m
2383,台光電,4843000,10.08,289.85
2330,台積電,11884000,9.82,282.25
3037,欣興,20300000,8.05,231.42
2454,聯發科技,5148000,6.62,190.48
3017,奇鋐科技,5899000,6.12,176.09
2327,國巨*,25387000,4.96,142.67
6669,緯穎科技服務,2226000,4.9,140.79
6223,旺矽科技,2486000,4.88,140.46
2345,智邦科技,6564000,4.81,138.17
3653,健策,2395000,4.66,134.12
2308,台達電,7040000,4.27,122.85
8046,南電,9624000,4.0,115.01
3711,日月光投資控股,19479000,4.0,114.93
3665,貿聯-KY,4671848,3.66,105.12
2303,聯電,87518000,3.52,101.08
6274,台燿,5498000,3.01,86.59
5274,信驊科技,410900,2.25,64.72
6805,富世達,2264000,1.46,41.88
2449,京元電子,11275450,0.92,26.5
8210,勤誠興業,2477000,0.83,23.88
2368,金像電,2000000,0.71,20.5
4979,華星光,2424000,0.48,13.82
6510,精測,477000,0.46,13.17
3264,欣銓科技,5917000,0.43,12.34
8996,高力熱處理工業,1101000,0.43,12.5
3443,創意,142000,0.28,7.99
4958,臻鼎-KY,1645000,0.26,7.62
2360,致茂電子,294000,0.22,6.29
6187,萬潤,483000,0.21,6.11
6278,台表科,3249000,0.2,5.85
6271,同欣電,2223000,0.15,4.36
6191,精成科,3988000,0.11,3.29
3376,新日興,1741000,0.11,3.28
4966,譜瑞-KY,140000,0.03,0.79
2002,中鋼,5163000,0.03,1.0
2637,慧洋-KY,200000,0.01,0.19
8358,金居,1000,0.0,0.0
3661,世芯-KY,1000,0.0,0.04
2439,美律,1000,0.0,0.0
1590,亞德客-KY,1000,0.0,0.01
3008,大立光,1000,0.0,0.06
2382,廣達電腦,1000,0.0,0.0
2408,南亞科技,1000,0.0,0.01
6515,穎崴科技,1000,0.0,0.06
6488,環球晶,1000,0.0,0.01
2313,華通,1000,0.0,0.0
8150,南茂科技,1000,0.0,0.0
2317,鴻海精密工業,1000,0.0,0.0
5347,世界先進,1000,0.0,0.0
2481,強茂,5000,0.0,0.01
