code,name,shares,weight,market_value_100m
2330,台積電,991000,8.25,23.93
2454,聯發科技,476000,6.59,19.11
2383,台光電,269000,5.32,15.41
3037,欣興,1310000,4.52,13.1
3017,奇鋐科技,424000,4.26,12.34
6669,緯穎科技服務,205000,4.26,12.35
6274,台燿,643000,3.55,10.29
2308,台達電,570000,3.52,10.2
2059,川湖科技,70000,2.91,8.43
6223,旺矽科技,127000,2.89,8.38
2345,智邦科技,366000,2.8,8.11
6446,藥華醫藥,537191,2.67,7.74
3711,日月光投資控股,1138000,2.44,7.07
8046,南電,560000,2.44,7.08
1590,亞德客-KY,422000,2.32,6.73
2327,國巨*,1070000,2.22,6.44
6805,富世達,341000,2.16,6.26
2303,聯電,4976000,2.11,6.12
5274,信驊科技,34900,2.09,6.06
3443,創意,117000,2.07,6.0
2360,致茂電子,267000,2.02,5.86
3529,力旺電子,215000,1.97,5.72
2395,研華,811000,1.92,5.56
3665,貿聯-KY,257000,1.91,5.54
2368,金像電,538000,1.86,5.38
2408,南亞科技,1076000,1.79,5.19
2344,華邦電子,2853000,1.74,5.05
4958,臻鼎-KY,1028000,1.67,4.85
6515,穎崴科技,59000,1.46,4.23
6531,愛普科技,472000,1.43,4.14
8210,勤誠興業,258000,0.89,2.59
5536,聖暉*,253000,0.8,2.32
2379,瑞昱,282000,0.75,2.16
2376,技嘉,575000,0.74,2.16
3034,聯詠,361000,0.67,1.94
2412,中華電信,1277000,0.6,1.74
3293,鈊象電子,205000,0.55,1.6
1303,南亞,830000,0.54,1.57
8996,高力熱處理工業,106000,0.43,1.24
3491,昇達科,92000,0.42,1.21
3533,嘉澤端子工業,56000,0.39,1.13
6415,矽力杰,220000,0.34,0.99
6526,達發,138000,0.29,0.85
4904,遠傳電信,810000,0.28,0.82
5434,崇越,99000,0.18,0.53
5289,宜鼎國際,32000,0.17,0.49
2451,創見,161000,0.16,0.47
3260,威剛科技,115000,0.16,0.47
8299,群聯電子,19000,0.14,0.42
2458,義隆,175000,0.09,0.26
