code,name,shares,weight,market_value_100m
2330,台積電,292999,14.11,7.03
2383,台光電,59001,6.91,3.3
3017,奇鋐科技,105500,6.61,3.11
2059,川湖科技,21001,6.05,3.0
3037,欣興,244001,5.62,2.67
6274,台燿,168000,5.1,2.49
8046,南電,196000,4.59,2.27
2454,聯發科技,58001,4.54,2.17
6223,旺矽科技,36901,3.69,2.07
6669,緯穎科技服務,26000,3.5,1.67
2408,南亞科技,315000,3.23,1.61
3653,健策,25000,2.84,1.3
2345,智邦科技,67000,2.73,1.36
5274,信驊科技,7920,2.47,1.22
3443,創意,19050,2.32,1.06
3711,日月光投資控股,172002,2.02,1.02
2308,台達電,56499,1.96,0.97
6488,環球晶,91000,1.71,0.89
2303,聯電,580000,1.42,0.72
7769,鴻勁精密,11000,1.38,0.68
1303,南亞,320000,1.32,0.6
3081,聯亞,20000,1.29,0.59
2360,致茂電子,26000,1.02,0.51
6187,萬潤,39000,1.01,0.5
6239,力成科技,175000,0.99,0.5
6805,富世達,20000,0.8,0.37
2481,強茂,200000,0.6,0.3
2382,廣達電腦,70000,0.46,0.23
3045,台灣大哥,150000,0.34,0.17
2368,金像電,16000,0.33,0.16
8996,高力熱處理工業,12000,0.28,0.15
3665,貿聯-KY,5000,0.2,0.1
3231,緯創資通,51000,0.18,0.09
2886,兆豐金,100000,0.09,0.05
2404,漢唐,1000,0.02,0.01
9941,裕融企業,13000,0.02,0.01
8436,大江生醫,3000,0.01,0.0
2317,鴻海精密工業,1000,0.0,0.0
