code,name,shares,weight,market_value_100m
2330,台積電,753000,9.13,17.88
2059,川湖科技,80000,5.77,11.53
2454,聯發科技,249000,4.7,9.37
2383,台光電,136000,3.84,7.38
2308,台達電,404000,3.49,7.01
3081,聯亞,228600,3.42,6.32
3037,欣興,563000,3.11,6.05
2408,南亞科技,1096000,2.82,5.49
2317,鴻海精密工業,1921000,2.36,4.67
1303,南亞,2416000,2.3,4.35
7769,鴻勁精密,73000,2.29,4.57
8299,群聯電子,197000,2.07,4.21
2344,華邦電子,2293000,2.07,4.06
6223,旺矽科技,72000,2.04,4.01
3017,奇鋐科技,134000,2.0,3.83
2368,金像電,393000,1.93,3.73
3653,健策,69000,1.81,3.56
2345,智邦科技,174000,1.78,3.6
6515,穎崴科技,55000,1.74,3.38
6669,緯穎科技服務,52000,1.69,3.28
3443,創意,59000,1.66,3.17
2382,廣達電腦,987000,1.64,3.24
2327,國巨*,595000,1.63,3.28
6274,台燿,209000,1.57,3.04
3711,日月光投資控股,526000,1.57,3.11
2360,致茂電子,148000,1.47,3.06
2891,中國信託金融控股,4525000,1.47,2.92
5274,信驊科技,18300,1.42,2.77
6213,聯茂,482000,1.29,2.55
2884,玉山金融控股,6340622,1.25,2.47
2376,技嘉,694000,1.22,2.41
8046,南電,203000,1.19,2.3
5904,寶雅國際,3124500,1.18,2.34
3036,文曄,1147000,1.15,2.28
8996,高力熱處理工業,181000,1.11,2.07
4958,臻鼎-KY,461000,1.03,2.01
8210,勤誠興業,193000,0.94,1.87
3231,緯創資通,1041000,0.94,1.86
3293,鈊象電子,252000,0.9,1.82
3044,健鼎科技,345000,0.81,1.6
3189,景碩科技,185000,0.78,1.54
3008,大立光,26000,0.75,1.4
3264,欣銓科技,650000,0.7,1.38
6831,邁科科技,182000,0.52,1.02
6805,富世達,54000,0.5,0.92
3529,力旺電子,44000,0.49,0.97
3026,禾伸堂,134000,0.42,0.84
3665,貿聯-KY,32336,0.34,0.66
6442,光紅建聖,38000,0.31,0.61
3533,嘉澤端子工業,35000,0.28,0.56
