code,name,shares,weight,market_value_100m
2330,台積電,45999,6.61,1.09
2383,台光電,14000,4.64,0.74
2454,聯發科技,19000,4.58,0.75
6669,緯穎科技服務,12000,4.27,0.72
3037,欣興,62000,3.69,0.62
2308,台達電,34000,3.68,0.62
3017,奇鋐科技,22000,3.64,0.61
3045,台灣大哥,491000,3.22,0.54
2360,致茂電子,23000,2.87,0.47
2317,鴻海精密工業,175000,2.76,0.46
2886,兆豐金,870000,2.58,0.43
8046,南電,36000,2.48,0.41
2376,技嘉,105000,2.21,0.37
2059,川湖科技,3000,2.21,0.36
2368,金像電,38000,2.2,0.35
2395,研華,55000,2.18,0.37
2357,華碩,43000,2.16,0.36
5904,寶雅國際,410000,2.14,0.36
3702,大聯大,260000,1.96,0.33
6274,台燿,19000,1.83,0.28
5434,崇越,58000,1.81,0.3
2404,漢唐,25000,1.72,0.29
7769,鴻勁精密,4500,1.71,0.29
2880,華南金控,650000,1.7,0.28
3665,貿聯-KY,12000,1.58,0.26
2344,華邦電子,140000,1.49,0.25
5876,上海商銀,558200,1.44,0.24
6223,旺矽科技,3500,1.32,0.22
2356,英業達,330000,1.29,0.21
2303,聯電,175000,1.29,0.22
3653,健策,5000,1.22,0.2
2408,南亞科技,40000,1.17,0.2
6239,力成科技,67000,1.13,0.19
3231,緯創資通,90000,1.03,0.17
2891,中國信託金融控股,240000,0.96,0.16
2382,廣達電腦,45000,0.85,0.14
2801,彰銀,615000,0.85,0.14
3036,文曄,63000,0.83,0.14
2345,智邦科技,6000,0.77,0.13
3711,日月光投資控股,14000,0.53,0.09
2327,國巨*,10000,0.37,0.06
6805,富世達,3000,0.32,0.05
2481,強茂,38000,0.32,0.05
1477,聚陽實業,20000,0.27,0.04
1216,統一企業,20000,0.09,0.02
