code,name,shares,weight,market_value_100m
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,5.93,0.93
MU US,美光科技公司,108569,5.66,0.89
AMAT US,應用材料,135000,4.09,0.64
6981 JP,村田製作所有限公司,1350000,3.75,96.57
3037,欣興,2400000,3.59,18.34
009150 KS,三星電機,75000,3.56,817.5
2383,台光電,410000,3.54,18.08
2330,台積電,750000,3.35,17.1
LITE US,魯門特姆控股公司,77000,3.19,0.5
285A JP,鎧俠控股公司,180000,3.11,80.19
2454,聯發科技,445000,2.89,14.75
IFX GY,英飛凌科技股份有限公司,625000,2.61,0.36
CRDO US,Credo科技集團控股有限公司,200000,2.45,0.38
TSEM US,TOWER SEMICONDUCTOR LTD,186825,2.41,0.38
8035 JP,TOKYO ELECTRON LTD,110000,2.39,61.51
6976 JP,TAIYO YUDEN CO LTD,600000,2.39,61.65
WDC US,威騰電子公司,80000,2.36,0.37
3665,貿聯-KY,520000,2.26,11.52
BE US,布魯姆能源公司,210000,2.23,0.35
2327,國巨*,1800000,1.99,10.13
3711,日月光投資控股,1800000,1.96,9.97
SNDK US,晟碟公司（德拉瓦州）,28000,1.95,0.31
6223,旺矽科技,190000,1.92,9.81
FTNT US,防特網公司,200000,1.91,0.3
NOW US,ServiceNow公司,270000,1.9,0.3
6920 JP,LASERTEC CORP,130000,1.89,48.67
6871 JP,MICRONICS JAPAN CO LTD,370000,1.86,47.95
PANW US,Palo Alto Networks Inc,90000,1.83,0.29
MRVL US,MARVELL TECHNOLOGY INC,130000,1.44,0.23
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.4,36.03
2308,台達電,320000,0.99,5.06
KLAC US,科磊公司,80000,0.97,0.15
LMT US,LOCKHEED MARTIN CORP,25000,0.92,0.15
VECO US,VEECO INSTRUMENTS INC,310000,0.9,0.14
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,899909,0.85,0.91
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,0.67,0.71
3436 JP,SUMCO CORP,500000,0.61,15.7
2303,聯電,2500000,0.56,2.84
3017,奇鋐科技,115000,0.51,2.58
AIXA GY,愛思強股份有限公司,200000,0.5,0.07
4062 JP,揖斐電有限公司,60000,0.35,8.91
AEHR US,AEHR TEST SYSTEMS,10459,0.05,0.01
