code,name,shares,weight,market_value_100m
ABN NA,荷蘭銀行公眾有限公司,153500,5.98,2.35
NWG LN,國民西敏集團公開有限公司,620000,4.827,1.9
TPEIR GA,Piraeus Bank SA,500000,4.697,1.85
LLOY LN,勞埃德銀行集團,3700000,4.689,1.84
BARC LN,巴克萊集團,800000,4.58,1.8
STAN LN,渣打集團有限公司,140000,3.417,1.34
BMPS IM,義大利西恩那銀行股份公司,300000,3.394,1.34
GLE FP,法國興業銀行股份有限公司,43000,3.33,1.31
BAMI IM,BPM銀行股份公司,200000,3.203,1.26
UNI IM,Unipol保險股份公司,110000,2.983,1.17
BAC US,美國銀行,55000,2.888,1.14
UCG IM,裕信銀行,35000,2.805,1.1
JPM US,摩根大通銀行,9000,2.658,1.05
DBK GY,德意志銀行,83000,2.606,1.03
7167 JP,Mebuki金融集團公司,300000,2.544,1.0
ADM LN,Admiral集團公開有限公司,58000,2.509,0.99
BNP FP,法國巴黎銀行有限責任公司,23000,2.425,0.95
BNY US,紐約梅隆銀行,17000,2.259,0.89
AMUN FP,東方匯理資產管理有限責任公司,25000,2.256,0.89
UBS US,瑞銀集團公司,50000,2.183,0.86
ETE GA,希臘國家銀行,120000,1.858,0.73
HSBA LN,匯豐控股有限公司,110000,1.849,0.73
CHYM US,Chime Financial Inc,70000,1.825,0.72
8331 JP,千葉銀行有限公司,125000,1.808,0.71
INGA NA,荷蘭國際集團,60000,1.743,0.69
LGEN LN,法通保險集團公開有限公司,500000,1.677,0.66
BLK US,貝萊德公司,1700,1.624,0.64
RELY US,Remitly全球公司,72000,1.542,0.61
8377 JP,北北金融集團公司,35000,1.538,0.61
SDLF LN,標準人壽公開有限公司,150000,1.53,0.6
PFG US,信安金融保險集團,16000,1.485,0.58
V US,威士卡,5000,1.482,0.58
AV/ LN,英傑華保險,185000,1.479,0.58
MRX US,馬雷克斯集團有限公司,25000,1.446,0.57
8309 JP,三井住友信託集團公司,162000,1.439,0.57
USB US,美國合眾銀行,27000,1.438,0.57
8308 JP,Resona控股公司,100000,1.255,0.49
GPN US,環匯公司,14000,1.061,0.42
ARES US,戰神管理公司,8600,1.008,0.4
BX US,黑石公司,8200,0.961,0.38
8411 JP,瑞穗金融集團,21500,0.948,0.37
7180 JP,九州金融集團公司,100000,0.791,0.31
