code,name,shares,weight,market_value_100m
2383,台光電,72000,8.82,4.57
2330,台積電,189000,8.75,4.54
2454,聯發科技,74000,5.78,3.0
6669,緯穎科技服務,43000,5.49,2.85
3037,欣興,232000,5.01,2.6
3017,奇鋐科技,80000,4.86,2.52
2345,智邦科技,110000,4.86,2.52
6223,旺矽科技,38000,4.25,2.2
8046,南電,170000,4.25,2.2
2308,台達電,110000,4.0,2.07
3665,貿聯-KY,81000,3.33,1.73
3653,健策,30000,3.09,1.6
5274,信驊科技,8800,2.89,1.5
7769,鴻勁精密,22000,2.86,1.49
3711,日月光投資控股,207000,2.45,1.27
2303,聯電,900000,2.11,1.09
2327,國巨*,180000,2.11,1.09
6274,台燿,68000,2.1,1.09
6515,穎崴科技,14000,1.78,0.93
2368,金像電,74000,1.44,0.75
2360,致茂電子,26000,1.18,0.61
2344,華邦電子,332000,1.16,0.6
4958,臻鼎-KY,107000,1.04,0.54
8210,勤誠興業,43000,0.84,0.43
2455,全新,101000,0.81,0.42
2472,立隆電子工業,162000,0.75,0.39
8996,高力熱處理工業,32000,0.75,0.39
3044,健鼎科技,78000,0.73,0.38
6187,萬潤,27000,0.72,0.37
2486,一詮精密,150000,0.69,0.36
3023,信邦,113000,0.68,0.35
2885,元大金,493000,0.65,0.34
5289,宜鼎國際,22000,0.65,0.34
3443,創意,5000,0.56,0.29
7750,新  代,12000,0.56,0.29
3189,景碩科技,31000,0.54,0.28
8150,南茂科技,280000,0.49,0.26
6213,聯茂,50000,0.46,0.24
1326,台化,400000,0.46,0.24
3264,欣銓科技,107000,0.45,0.23
3131,弘塑科技,9000,0.43,0.23
3450,聯鈞,40000,0.42,0.22
6438,迅得機械,140000,0.4,0.21
2449,京元電子,80850,0.39,0.2
2313,華通,90000,0.37,0.19
6805,富世達,9000,0.33,0.17
2467,志聖,27000,0.31,0.16
8358,金居,35000,0.28,0.15
3211,順達,30000,0.23,0.12
6531,愛普科技,13000,0.22,0.11
6139,亞翔,1000,0.02,0.01
