code,name,shares,weight,market_value_100m
2330,台積電,634000,9.87,14.71
2454,聯發科技,269000,6.03,8.98
2059,川湖科技,110000,5.72,8.53
2308,台達電,475000,5.43,8.1
2383,台光電,151000,4.45,6.64
7769,鴻勁精密,93000,3.75,5.58
3653,健策,151000,3.24,4.83
3037,欣興,562000,2.83,4.21
6223,旺矽科技,76000,2.78,4.15
2368,金像電,393000,2.44,3.64
3081,聯亞,237600,2.29,3.41
6515,穎崴科技,55000,2.23,3.33
2317,鴻海精密工業,1286000,2.02,3.02
3017,奇鋐科技,131000,1.88,2.8
2345,智邦科技,130000,1.82,2.72
2360,致茂電子,143000,1.76,2.62
3443,創意,70000,1.76,2.62
8046,南電,219000,1.62,2.42
3711,日月光投資控股,400000,1.6,2.39
2327,國巨*,345000,1.46,2.17
2408,南亞科技,568000,1.45,2.16
8996,高力熱處理工業,221000,1.44,2.15
4958,臻鼎-KY,436000,1.4,2.09
3036,文曄,1067000,1.34,2.0
5904,寶雅國際,312450,1.28,1.91
5274,信驊科技,14300,1.24,1.85
6669,緯穎科技服務,39000,1.23,1.83
2891,中國信託金融控股,2849000,1.18,1.75
2344,華邦電子,1153000,1.17,1.74
2382,廣達電腦,530000,1.12,1.67
6274,台燿,130000,0.98,1.46
2376,技嘉,424000,0.94,1.4
2884,玉山金融控股,3867622,0.93,1.39
3529,力旺電子,60000,0.93,1.38
8299,群聯電子,79000,0.92,1.37
3008,大立光,35000,0.91,1.36
8210,勤誠興業,112000,0.81,1.21
3231,緯創資通,700000,0.67,1.0
3665,貿聯-KY,53336,0.65,0.97
3189,景碩科技,139000,0.63,0.94
3293,鈊象電子,124000,0.59,0.88
3026,禾伸堂,134000,0.56,0.83
6805,富世達,54000,0.47,0.7
3044,健鼎科技,164000,0.43,0.64
6831,邁科科技,83000,0.31,0.46
6442,光紅建聖,37000,0.3,0.45
3264,欣銓科技,172000,0.23,0.34
3533,嘉澤端子工業,13000,0.17,0.25
