code,name,shares,weight,market_value_100m
2330,台積電,279000,5.9,6.92
2454,聯發科技,96000,4.27,4.81
2059,川湖科技,39000,4.24,4.99
3702,大聯大,4085000,3.97,4.62
2383,台光電,93000,3.88,4.55
3653,健策,77000,3.86,4.46
2308,台達電,185000,3.02,3.47
6669,緯穎科技服務,161225,2.93,3.47
7769,鴻勁精密,55000,2.91,3.39
3706,神達投資控股,4235400,2.89,3.36
3037,欣興,262000,2.52,2.67
2441,超豐,2248000,2.45,2.85
3081,聯亞,92700,2.25,2.67
2368,金像電,234000,2.09,2.45
6223,旺矽科技,45000,2.07,2.47
2382,廣達電腦,702500,2.06,2.4
2408,南亞科技,479000,2.04,2.47
2357,華碩,238000,1.95,2.27
6515,穎崴科技,38000,1.88,2.19
3017,奇鋐科技,63000,1.83,2.15
9941,裕融企業,2618480,1.79,2.09
2345,智邦科技,101000,1.66,1.86
3026,禾伸堂,246000,1.65,1.92
5274,信驊科技,9000,1.62,1.78
3008,大立光,28000,1.54,1.79
2360,致茂電子,70000,1.47,1.66
5534,長虹建設,2263000,1.45,1.68
2887,台新新光金,3664360,1.35,1.57
2884,玉山金融控股,3184000,1.26,1.47
2892,第一金融控股,3651000,1.25,1.46
3665,貿聯-KY,65000,1.25,1.5
2885,元大金,1958040,1.19,1.38
2886,兆豐金,2700000,1.17,1.36
2880,華南金控,2936388,1.17,1.37
6274,台燿,93000,1.15,1.33
3293,鈊象電子,183000,1.14,1.32
2451,創見,454000,1.11,1.3
6805,富世達,51000,1.1,1.23
2890,永豐金融,2734780,1.07,1.24
4746,台耀化學,2185000,0.9,1.05
6138,茂達電子,351000,0.83,0.96
6121,新  普,243000,0.79,0.92
4904,遠傳電信,851000,0.77,0.9
2618,長榮航,2099000,0.77,0.89
2395,研華,125000,0.75,0.88
3227,原相,471000,0.74,0.87
5904,寶雅國際,1216000,0.74,0.86
5434,崇越,160000,0.73,0.86
3090,日電貿,497000,0.7,0.82
2393,億光電子工業,1223000,0.67,0.78
5439,高技,279000,0.61,0.71
2727,王品餐飲,289000,0.57,0.66
4551,智伸科,405000,0.55,0.64
9958,世紀鋼鐵結構,685000,0.54,0.62
