code,name,shares,weight,market_value_100m
2330,台積電,45000,5.74,1.12
2455,全新,200000,5.68,1.09
8996,高力熱處理工業,60000,5.15,0.9
3008,大立光,15000,4.98,0.96
3017,奇鋐科技,28000,4.92,0.96
3491,昇達科,60000,4.61,0.91
3653,健策,15000,4.54,0.87
3529,力旺電子,27000,4.36,0.76
2454,聯發科技,15000,4.03,0.75
1560,中砂,80000,3.94,0.73
3081,聯亞,25000,3.66,0.72
3665,貿聯-KY,30000,3.49,0.69
2059,川湖科技,5000,3.29,0.64
2383,台光電,12000,3.03,0.59
6669,緯穎科技服務,25776,2.83,0.55
6223,旺矽科技,10000,2.77,0.55
2408,南亞科技,100000,2.58,0.52
8358,金居,100000,2.55,0.49
4958,臻鼎-KY,100000,2.54,0.47
8046,南電,36000,2.18,0.38
3450,聯鈞,80000,2.18,0.42
3711,日月光投資控股,60000,2.16,0.4
6274,台燿,25000,1.87,0.36
1303,南亞,150000,1.8,0.36
3037,欣興,30000,1.74,0.31
4749,新應材,45000,1.7,0.33
2301,光寶科技,100000,1.48,0.29
3406,玉晶光,30000,1.44,0.28
2486,一詮精密,100000,1.21,0.23
1717,長興,250000,0.92,0.18
1519,華城電機,9000,0.33,0.06
