code,name,shares,weight,market_value_100m
2454,聯發科技,480000,6.6526,15.53
3017,奇鋐科技,693000,6.2645,14.62
6223,旺矽科技,273000,5.6141,13.1
3665,貿聯-KY,675000,5.5234,12.89
3443,創意,334000,4.951,11.56
3037,欣興,1570000,4.816,11.24
2345,智邦科技,529000,4.3854,10.24
6488,環球晶,1160000,3.8664,9.02
8046,南電,1039000,3.7257,8.7
3653,健策,245000,3.2906,7.68
6669,緯穎科技服務,145000,3.0439,7.11
3131,弘塑科技,327000,3.019,7.05
2344,華邦電子,5896000,2.9933,6.99
2383,台光電,157000,2.9024,6.77
7769,鴻勁精密,100000,2.4077,5.62
7734,印能科技,159000,2.0878,4.87
5274,信驊科技,36300,2.0536,4.79
2308,台達電,294000,1.9271,4.5
2368,金像電,577000,1.7823,4.16
6274,台燿,306000,1.324,3.09
6510,精測,135000,1.3129,3.06
2059,川湖科技,42000,1.2847,3.0
2408,南亞科技,849000,1.193,2.78
3026,禾伸堂,580000,1.0622,2.48
3081,聯亞,158400,1.0077,2.35
8996,高力熱處理工業,282000,0.9399,2.19
8028,昇陽半導體,889000,0.8664,2.02
2449,京元電子,832650,0.7259,1.69
6187,萬潤,198000,0.7168,1.67
3711,日月光投資控股,323000,0.6988,1.63
3583,辛耘,274000,0.6972,1.63
8210,勤誠興業,168000,0.6844,1.6
6515,穎崴科技,23000,0.5212,1.22
2330,台積電,49000,0.4628,1.08
6442,光紅建聖,70000,0.3148,0.73
6526,達發,146000,0.3083,0.72
4749,新應材,95000,0.2735,0.64
5347,世界先進,211000,0.1247,0.29
4576,大銀微系統,72000,0.0507,0.12
2303,聯電,78000,0.0367,0.09
3163,波若威,13300,0.0282,0.07
3264,欣銓科技,34000,0.0234,0.05
3661,世芯-KY,1000,0.0119,0.03
3533,嘉澤端子工業,1000,0.0072,0.02
8299,群聯電子,1000,0.0064,0.01
1590,亞德客-KY,1000,0.0057,0.01
6805,富世達,1000,0.0052,0.01
