code,name,shares,weight,market_value_100m
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,5.97,0.88
MU US,美光科技公司,108569,5.44,0.8
AMAT US,應用材料,135000,3.99,0.59
2383,台光電,410000,3.52,16.81
6981 JP,村田製作所有限公司,1350000,3.48,84.12
3037,欣興,2400000,3.46,16.51
2330,台積電,750000,3.45,16.5
009150 KS,三星電機,65000,3.19,682.5
LITE US,魯門特姆控股公司,77000,3.14,0.46
2454,聯發科技,445000,2.93,14.02
285A JP,鎧俠控股公司,180000,2.86,69.08
IFX GY,英飛凌科技股份有限公司,625000,2.63,0.34
WDC US,威騰電子公司,80000,2.5,0.37
CRDO US,Credo科技集團控股有限公司,200000,2.4,0.35
TSEM US,TOWER SEMICONDUCTOR LTD,186825,2.38,0.35
BE US,布魯姆能源公司,210000,2.33,0.34
8035 JP,TOKYO ELECTRON LTD,110000,2.28,55.0
3665,貿聯-KY,520000,2.27,10.87
NOW US,ServiceNow公司,270000,2.12,0.31
SNDK US,晟碟公司（德拉瓦州）,28000,1.93,0.28
PANW US,Palo Alto Networks Inc,90000,1.92,0.28
6223,旺矽科技,190000,1.9,9.1
3711,日月光投資控股,1800000,1.88,8.98
6871 JP,MICRONICS JAPAN CO LTD,370000,1.72,41.62
6976 JP,TAIYO YUDEN CO LTD,450000,1.68,40.52
2327,國巨*,1550000,1.64,7.86
LMT US,LOCKHEED MARTIN CORP,38000,1.47,0.22
MRVL US,MARVELL TECHNOLOGY INC,130000,1.44,0.21
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.36,32.77
FTNT US,防特網公司,100000,1.04,0.15
2308,台達電,320000,1.0,4.78
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,899909,0.98,0.98
6920 JP,LASERTEC CORP,65000,0.92,22.31
VECO US,VEECO INSTRUMENTS INC,310000,0.9,0.13
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,0.69,0.69
3436 JP,SUMCO CORP,500000,0.61,14.74
2303,聯電,2500000,0.54,2.56
AIXA GY,愛思強股份有限公司,200000,0.51,0.07
3017,奇鋐科技,115000,0.5,2.41
4062 JP,揖斐電有限公司,60000,0.33,8.08
AEHR US,AEHR TEST SYSTEMS,10459,0.05,0.01
