code,name,shares,weight,market_value_100m
LITE US,魯門特姆控股公司,117000,6.67,1.09
BE US,布魯姆能源公司,350000,5.7,0.93
SPCX US,太空探索科技公司,550000,5.15,0.84
3037,欣興,2600000,4.92,25.51
009150 KS,三星電機,70000,4.3,971.6
6981 JP,村田製作所有限公司,1350000,4.09,104.8
MU US,美光科技公司,60000,3.73,0.61
PANW US,Palo Alto Networks Inc,150000,3.34,0.55
MSFT US,微軟,100000,3.03,0.49
INTC US,英特爾,450399,3.0,0.49
2454,聯發科技,330000,3.0,15.54
3017,奇鋐科技,440000,2.91,15.09
SNOW US,Snowflake公司,130000,2.65,0.43
2303,聯電,8500000,2.56,13.26
PLTR US,帕蘭提爾科技公司,225000,2.45,0.4
NVDA US,NVIDIA CORP(輝達公司),175000,2.38,0.39
2383,台光電,250000,2.36,12.22
HOOD US,羅賓漢市場公司,300120,2.2,0.36
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,220000,2.07,2.65
000660 KS,愛思開海力士公司,25000,2.06,464.25
NOW US,ServiceNow公司,230000,1.91,0.31
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,334997,1.9,2.08
CRWD US,Crowdstrike控股公司,130754,1.9,0.31
2330,台積電,400000,1.9,9.84
4979,華星光,1510000,1.78,9.23
992 HK,LENOVO GROUP LTD,6000000,1.76,2.25
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,1.72,0.28
TER US,泰瑞達公司,70000,1.59,0.26
TWLO US,Twilio公司,100000,1.49,0.24
NET US,Cloudflare公司,70000,1.39,0.23
OKTA US,Okta公司,120000,1.34,0.22
6515,穎崴科技,100000,1.24,6.43
IFX GY,英飛凌科技股份有限公司,300000,1.18,0.17
6997 JP,NIPPON CHEMI-CON CORP,1060000,1.15,29.54
STX US,希捷科技控股公開有限公司,20000,1.05,0.17
3081,聯亞,150000,0.83,4.32
285A JP,鎧俠控股公司,37000,0.79,20.19
SNDK US,晟碟公司（德拉瓦州）,7000,0.77,0.13
5801 JP,古河電氣工業有限公司,500000,0.76,19.5
NTRA US,那提拉公司,25000,0.57,0.09
4180 JP,APPIER GROUP INC,950000,0.56,14.4
