code,name,shares,weight,market_value_100m
3017,奇鋐科技,803000,7.4723,22.36
3665,貿聯-KY,865000,6.3584,19.03
2454,聯發科技,480000,6.2548,18.72
3653,健策,427000,6.249,18.7
6223,旺矽科技,273000,5.5642,16.65
3443,創意,334000,5.0721,15.18
3037,欣興,1570000,5.0097,14.99
6669,緯穎科技服務,195000,3.9744,11.89
2345,智邦科技,529000,3.9151,11.72
8046,南電,1039000,3.7493,11.22
2383,台光電,212000,3.7117,11.11
2368,金像電,1127000,3.6978,11.07
2344,華邦電子,5896000,3.2209,9.64
7769,鴻勁精密,120000,2.534,7.58
6510,精測,245000,2.2061,6.6
7734,印能科技,189000,2.1313,6.38
5274,信驊科技,36300,1.9824,5.93
3131,弘塑科技,222000,1.7691,5.29
2308,台達電,294000,1.6208,4.85
2059,川湖科技,42000,1.5591,4.67
3008,大立光,101000,1.4798,4.43
6274,台燿,306000,1.4723,4.41
2330,台積電,179000,1.4174,4.24
2408,南亞科技,849000,1.2963,3.88
3081,聯亞,158400,1.2199,3.65
3026,禾伸堂,580000,1.0368,3.1
8996,高力熱處理工業,282000,0.9846,2.95
8028,昇陽半導體,889000,0.7544,2.26
6187,萬潤,198000,0.7475,2.24
2449,京元電子,832650,0.6732,2.02
3583,辛耘,274000,0.6344,1.9
3711,日月光投資控股,323000,0.6313,1.89
8210,勤誠興業,168000,0.6258,1.87
6805,富世達,101000,0.5635,1.69
6831,邁科科技,250000,0.5321,1.59
6515,穎崴科技,23000,0.5195,1.55
6488,環球晶,110000,0.3204,0.96
6442,光紅建聖,70000,0.3099,0.93
6526,達發,146000,0.3048,0.91
4749,新應材,95000,0.2567,0.77
5347,世界先進,211000,0.1011,0.3
4576,大銀微系統,72000,0.0524,0.16
2303,聯電,78000,0.0302,0.09
3163,波若威,13300,0.0298,0.09
3264,欣銓科技,34000,0.0235,0.07
8021,尖點,10000,0.0131,0.04
3661,世芯-KY,1000,0.0124,0.04
8299,群聯電子,1000,0.0067,0.02
3533,嘉澤端子工業,1000,0.0063,0.02
1590,亞德客-KY,1000,0.0051,0.02
