code,name,shares,weight,market_value_100m
2330,台積電,188000,9.05,4.52
2383,台光電,77000,7.84,3.92
2454,聯發科技,74000,5.73,2.87
2345,智邦科技,110000,5.11,2.56
6669,緯穎科技服務,43000,4.7,2.35
6223,旺矽科技,36000,4.5,2.25
2327,國巨*,303000,4.22,2.11
8046,南電,170000,4.18,2.09
3037,欣興,232000,4.16,2.08
3017,奇鋐科技,80000,3.9,1.95
2308,台達電,98000,3.68,1.84
3665,貿聯-KY,71000,3.24,1.62
5274,信驊科技,8800,2.73,1.37
3711,日月光投資控股,207000,2.69,1.34
2368,金像電,135000,2.54,1.27
3653,健策,30000,2.22,1.11
7769,鴻勁精密,16000,2.07,1.03
2303,聯電,700000,1.94,0.97
6274,台燿,68000,1.81,0.91
6515,穎崴科技,13000,1.72,0.86
2360,致茂電子,26000,1.12,0.56
4958,臻鼎-KY,107000,1.08,0.54
8210,勤誠興業,38000,0.9,0.45
2472,立隆電子工業,162000,0.89,0.45
2344,華邦電子,260000,0.84,0.42
2486,一詮精密,150000,0.72,0.36
2455,全新,101000,0.7,0.35
3023,信邦,113000,0.69,0.34
8996,高力熱處理工業,32000,0.69,0.34
3044,健鼎科技,78000,0.63,0.32
2885,元大金,493000,0.62,0.31
5289,宜鼎國際,22000,0.6,0.3
7750,新  代,12000,0.52,0.26
6531,愛普科技,27000,0.49,0.24
6187,萬潤,24000,0.49,0.25
3189,景碩科技,31000,0.49,0.24
3264,欣銓科技,107000,0.47,0.23
2449,京元電子,77000,0.44,0.22
3443,創意,5000,0.44,0.22
6438,迅得機械,140000,0.41,0.21
2313,華通,90000,0.39,0.19
3583,辛耘,25000,0.38,0.19
8150,南茂科技,180000,0.35,0.18
6213,聯茂,50000,0.34,0.17
5439,高技,65180,0.32,0.16
5536,聖暉*,12000,0.29,0.14
6139,亞翔,17000,0.29,0.15
2467,志聖,27000,0.29,0.15
6805,富世達,9000,0.26,0.13
3211,順達,30000,0.23,0.12
3105,穩懋,30000,0.22,0.11
3167,大量,15000,0.21,0.1
3357,西北臺慶科技,50000,0.21,0.11
6147,頎邦,60000,0.21,0.11
8358,金居,20000,0.16,0.08
2404,漢唐,5000,0.12,0.06
3026,禾伸堂,8000,0.11,0.06
