code,name,shares,weight,market_value_100m
2330,台積電,398000,22.6108,9.47
2454,聯發科技,64500,7.0207,2.94
3711,日月光投資控股,238000,3.4768,1.46
2383,台光電,23000,2.9345,1.23
5274,信驊科技,5840,2.5065,1.05
2885,元大金,1446960,2.4454,1.02
2303,聯電,651000,2.2144,0.93
2382,廣達電腦,266000,2.1112,0.88
3034,聯詠,155000,2.0571,0.86
2892,第一金融控股,2040000,1.9405,0.81
2308,台達電,49000,1.8948,0.79
5434,崇越,142000,1.827,0.77
6196,帆宣,147000,1.8246,0.76
2542,興富發,1664000,1.8152,0.76
6257,矽格,359000,1.7996,0.75
2347,聯強,830000,1.7752,0.74
4763,濟南大自然新材料股份有限公司,1417000,1.6692,0.7
2027,大成鋼,1431000,1.5627,0.65
2890,永豐金融,1387500,1.4838,0.62
2887,台新新光金,1410150,1.4659,0.61
3260,威剛科技,136000,1.292,0.54
6223,旺矽科技,9500,1.2688,0.53
3017,奇鋐科技,16000,1.2642,0.53
2395,研華,77000,1.2315,0.52
7769,鴻勁精密,8000,1.204,0.5
2883,凱基金控,1297000,1.2012,0.5
2637,慧洋-KY,483000,1.1645,0.49
8299,群聯電子,25000,1.1547,0.48
2059,川湖科技,4000,1.1448,0.48
8016,矽創,169000,1.1174,0.47
2436,偉詮電子,672000,1.0892,0.46
2379,瑞昱,62000,1.0552,0.44
6206,飛捷科技股份有限公司,314000,1.0194,0.43
2357,華碩,39000,0.8695,0.36
2345,智邦科技,19000,0.8504,0.36
8081,致新,135000,0.7943,0.33
1303,南亞,131000,0.7317,0.31
2360,致茂電子,14000,0.7152,0.3
2317,鴻海精密工業,113000,0.6703,0.28
3443,創意,4000,0.6111,0.26
5904,寶雅國際,278000,0.4838,0.2
3293,鈊象電子,28000,0.4672,0.2
3680,家登精密,38000,0.4599,0.19
3264,欣銓科技,82000,0.4453,0.19
2351,順德,65000,0.3988,0.17
2301,光寶科技,39000,0.2583,0.11
3037,欣興,10000,0.2315,0.1
6691,洋基工程股份有限公司,12600,0.1844,0.08
6515,穎崴科技,1000,0.1575,0.07
2851,中央再保,92000,0.1043,0.04
3374,精  材,10000,0.1025,0.04
3135,凌航科技股份有限公司,13733,0.0521,0.02
2845,遠東國際商業銀行股份有限公司,52173,0.0171,0.01
