code,name,shares,weight,market_value_100m
2383,台光電,89000,4.41,5.52
2330,台積電,221000,4.38,5.26
2059,川湖科技,32000,3.8,4.6
2886,兆豐金,9327000,3.7,4.39
3653,健策,74000,3.41,3.81
3711,日月光投資控股,656000,3.25,3.93
2892,第一金融控股,11226000,3.18,3.77
2454,聯發科技,96000,3.11,3.73
7769,鴻勁精密,50000,2.72,3.26
2880,華南金控,7875388,2.59,3.07
2308,台達電,162000,2.41,2.95
2408,南亞科技,479000,1.94,2.47
2368,金像電,219000,1.92,2.34
3081,聯亞,84700,1.91,2.27
2357,華碩,238000,1.86,2.2
6669,緯穎科技服務,34000,1.83,2.18
2345,智邦科技,101000,1.81,2.25
6805,富世達,115000,1.74,2.25
2887,台新新光金,5402360,1.66,1.97
9941,裕融企業,2270000,1.63,1.93
3706,神達投資控股,2114000,1.62,1.92
2885,元大金,3043040,1.6,1.95
3037,欣興,163000,1.55,1.87
6223,旺矽科技,34000,1.51,1.79
6515,穎崴科技,28000,1.5,1.77
2395,研華,251000,1.47,1.7
3017,奇鋐科技,56000,1.46,1.7
5534,長虹建設,2069000,1.38,1.64
2890,永豐金融,4017780,1.33,1.58
2393,億光電子工業,2419000,1.32,1.56
2727,王品餐飲,647000,1.28,1.51
2360,致茂電子,70000,1.25,1.61
2382,廣達電腦,443500,1.24,1.47
3026,禾伸堂,213000,1.24,1.47
6121,新  普,366000,1.24,1.47
3665,貿聯-KY,65000,1.21,1.46
5274,信驊科技,9000,1.2,1.53
2441,超豐,1219000,1.17,1.38
5904,寶雅國際,1770000,1.16,1.38
3702,大聯大,1245000,1.12,1.33
5439,高技,560000,1.11,1.31
2451,創見,457000,1.08,1.28
4904,遠傳電信,1226000,1.05,1.24
3293,鈊象電子,164000,1.04,1.22
2884,玉山金融控股,3184000,1.01,1.2
4746,台耀化學,2276000,1.0,1.18
9945,潤泰創新國際,3964000,1.0,1.18
9939,宏全國際,886000,0.97,1.15
6274,台燿,75000,0.95,1.16
6435,大中,437000,0.95,1.12
8210,勤誠興業,112000,0.93,1.15
6138,茂達電子,368000,0.92,1.09
5434,崇越,198000,0.88,1.09
3227,原相,460000,0.77,0.91
9958,世紀鋼鐵結構,886000,0.74,0.88
3090,日電貿,363000,0.54,0.64
4551,智伸科,398000,0.54,0.64
2618,長榮航,956000,0.34,0.4
