code,name,shares,weight,market_value_100m
2454,聯發科技,480000,8.1447,22.85
3443,創意,364000,7.7011,21.6
3017,奇鋐科技,558000,6.8028,19.08
3653,健策,310000,6.2492,17.53
6223,旺矽科技,273000,5.3427,14.99
3037,欣興,1570000,5.3112,14.9
3665,貿聯-KY,665000,4.907,13.77
2368,金像電,1127000,4.4995,12.62
2383,台光電,212000,4.1527,11.65
2345,智邦科技,529000,3.9601,11.11
5274,信驊科技,54300,3.7193,10.43
6510,精測,245000,3.0305,8.5
7769,鴻勁精密,120000,2.8083,7.88
8046,南電,739000,2.766,7.76
6531,愛普科技,750000,2.5666,7.2
6805,富世達,271000,2.1881,6.14
4991,環宇-KY,1200000,2.1131,5.93
2059,川湖科技,42000,2.0818,5.84
3081,聯亞,158400,1.7335,4.86
2330,台積電,179000,1.5697,4.4
7734,印能科技,150000,1.5586,4.37
6274,台燿,306000,1.4944,4.19
3131,弘塑科技,152000,1.3844,3.88
3450,聯鈞,650000,1.3555,3.8
6669,緯穎科技服務,149139,1.3238,3.71
8996,高力熱處理工業,282000,1.2465,3.5
6278,台表科,1400000,0.9731,2.73
6187,萬潤,198000,0.9669,2.71
2308,台達電,94000,0.6199,1.74
6515,穎崴科技,23000,0.5739,1.61
8210,勤誠興業,168000,0.5611,1.57
6831,邁科科技,250000,0.5061,1.42
6488,環球晶,110000,0.3807,1.07
6285,啟碁科技,400000,0.3415,0.96
6526,達發,146000,0.3351,0.94
4749,新應材,95000,0.2665,0.75
5347,世界先進,211000,0.1173,0.33
4576,大銀微系統,72000,0.0633,0.18
2449,京元電子,42650,0.0415,0.12
2303,聯電,78000,0.0397,0.11
3163,波若威,13300,0.0356,0.1
3264,欣銓科技,34000,0.0275,0.08
8021,尖點,10000,0.0164,0.05
3661,世芯-KY,1000,0.0144,0.04
2395,研華,5000,0.0121,0.03
3711,日月光投資控股,3000,0.0066,0.02
3533,嘉澤端子工業,1000,0.006,0.02
3491,昇達科,1000,0.0053,0.02
1590,亞德客-KY,1000,0.0048,0.01
8028,昇陽半導體,1000,0.0008,0.0
