code,name,shares,weight,market_value_100m
2330,台積電,1794000,8.6593,44.22
2454,聯發科技,736000,6.8441,34.04
6139,亞翔,3721000,5.5201,28.02
6669,緯穎科技服務,1171225,5.411,27.23
3105,穩懋,5709000,5.1907,26.35
2059,川湖科技,180000,4.4682,22.32
6531,愛普科技,2040000,4.1396,20.38
2360,致茂電子,819000,3.5175,19.12
6223,旺矽科技,307000,3.3991,17.24
3008,大立光,252000,3.3363,17.31
2383,台光電,311000,3.2933,16.72
3491,昇達科,1180000,3.15,17.17
4958,臻鼎-KY,3158000,3.0766,15.85
3017,奇鋐科技,372000,2.5358,12.57
2345,智邦科技,621000,2.404,12.51
6488,環球晶,1089000,1.9674,9.99
2395,研華,1454000,1.8877,9.58
2301,光寶科技,3230000,1.8517,9.45
2455,全新,1537000,1.6109,8.18
2303,聯電,5145000,1.4444,7.28
3583,辛耘,988000,1.3878,7.04
3231,緯創資通,3660000,1.3339,6.77
5274,信驊科技,35900,1.3226,6.68
6214,精誠,3460000,1.2781,6.49
5483,中美晶,3437000,1.212,6.15
2376,技嘉,1749000,1.2111,6.15
3711,日月光投資控股,906000,1.1602,5.8
6274,台燿,421000,1.157,5.66
3265,台星科股份有限公司,3369000,1.1349,5.76
2467,志聖,1000000,1.1328,5.75
2428,興勤電子工業,2285000,1.1276,5.72
5425,台半,6403000,1.1265,5.72
3090,日電貿,3302000,1.1124,5.65
6239,力成科技,1910000,1.0668,5.41
2478,大毅,4360000,1.0651,5.41
2377,微星,3372000,0.9898,5.02
8996,高力熱處理工業,382000,0.9783,5.14
6472,保瑞,1032000,0.8244,4.18
5536,聖暉*,455000,0.7745,3.93
2486,一詮精密,1607000,0.7661,3.89
3529,力旺電子,93000,0.5001,2.59
6196,帆宣,304000,0.3204,1.63
6672,騰輝電子-KY,530000,0.3122,1.58
2885,元大金,2213556,0.3039,1.54
2476,鉅祥,1281000,0.3003,1.52
6640,均華,116000,0.2765,1.4
8070,長華*,2792000,0.272,1.38
3617,碩天,577000,0.2716,1.38
6446,藥華醫藥,42000,0.1092,0.56
6177,達麗,194350,0.0181,0.09
3443,創意,1000,0.0122,0.06
4441,振大環球,4000,0.0013,0.01
8358,金居,1000,0.001,0.01
1519,華城電機,660,0.0009,0.0
2886,兆豐金,1000,0.0,0.0
2881,富邦金融控股,250,0.0,0.0
