code,name,shares,weight,market_value_100m
2330,台積電,11600000,16.91,264.48
2303,聯電,76000000,5.52,86.26
3017,奇鋐科技,3450000,4.94,77.28
2383,台光電,1360000,3.84,59.98
3037,欣興,7600000,3.71,58.06
2344,華邦電子,40000000,3.68,57.6
2454,聯發科技,1730000,3.67,57.35
6223,旺矽科技,1000000,3.3,51.65
2308,台達電,3040000,3.07,48.03
2345,智邦科技,2260000,2.95,46.1
3711,日月光投資控股,6400000,2.27,35.46
2327,國巨*,6000000,2.16,33.78
6669,緯穎科技服務,600000,2.04,31.89
3653,健策,931000,2.01,31.37
4958,臻鼎-KY,6154000,1.68,26.31
3533,嘉澤端子工業,1240000,1.46,22.75
6488,環球晶,2350000,1.44,22.54
3189,景碩科技,3217000,1.31,20.56
6274,台燿,1680000,1.21,18.98
3443,創意,510000,1.19,18.67
3665,貿聯-KY,825000,1.17,18.27
7769,鴻勁精密,300000,1.1,17.25
8046,南電,1750000,1.09,17.08
1303,南亞,10700000,1.07,16.8
5274,信驊科技,124500,1.05,16.47
2360,致茂電子,760000,0.94,14.74
8996,高力熱處理工業,1600000,0.93,14.5
2368,金像電,1800000,0.93,14.56
2337,旺宏,10000000,0.72,11.3
6805,富世達,700000,0.6,9.38
6515,穎崴科技,149000,0.57,8.84
2317,鴻海精密工業,3200000,0.49,7.62
3211,順達,2000000,0.43,6.74
6239,力成科技,2600000,0.42,6.54
1560,中砂,1000000,0.41,6.35
3583,辛耘,900000,0.4,6.18
8358,金居,1750000,0.37,5.84
4966,譜瑞-KY,800000,0.3,4.62
6415,矽力杰,834000,0.22,3.37
3008,大立光,80000,0.2,3.12
2049,上銀科技,1010000,0.19,3.03
6442,光紅建聖,225000,0.18,2.77
2404,漢唐,180000,0.12,1.82
3450,聯鈞,300000,0.08,1.22
3264,欣銓科技,600000,0.07,1.11
2455,全新,336000,0.07,1.02
6285,啟碁科技,250000,0.04,0.57
8299,群聯電子,1000,0.0,0.02
6196,帆宣,1000,0.0,0.0
5347,世界先進,1000,0.0,0.0
