code,name,shares,weight,market_value_100m
2330,台積電,572000,13.65,13.73
6223,旺矽科技,98000,6.09,5.88
2454,聯發科技,114000,4.39,4.39
2383,台光電,76000,3.85,3.9
2059,川湖科技,37000,3.02,3.01
2345,智邦科技,126000,2.91,2.88
2308,台達電,154000,2.88,2.9
6274,台燿,216000,2.87,2.93
2344,華邦電子,1749000,2.8,2.99
3037,欣興,301000,2.68,2.73
2303,聯電,1900000,2.62,2.64
2327,國巨*,370000,2.56,2.6
5274,信驊科技,16600,2.56,2.57
3711,日月光投資控股,388000,2.5,2.55
6515,穎崴科技,36000,2.37,2.34
3017,奇鋐科技,93000,2.26,2.11
8046,南電,185000,2.26,2.41
3189,景碩科技,277000,2.16,2.17
2408,南亞科技,503000,2.13,2.24
6669,緯穎科技服務,37000,2.01,2.04
2883,凱基金控,6476000,1.99,2.0
7769,鴻勁精密,30000,1.93,1.94
2360,致茂電子,83000,1.78,1.76
4958,臻鼎-KY,320000,1.61,1.79
3443,創意,33000,1.44,1.44
3653,健策,39000,1.44,1.45
2890,永豐金融,3651220,1.39,1.39
3264,欣銓科技,595000,1.29,1.3
2368,金像電,136000,1.27,1.28
2881,富邦金融控股,918000,1.17,1.18
2885,元大金,1729000,1.09,1.09
6488,環球晶,96000,1.07,1.08
8358,金居,230000,0.93,0.93
6446,藥華醫藥,79228,0.91,0.93
1303,南亞,456000,0.89,0.95
2891,中國信託金融控股,1112000,0.7,0.71
3702,大聯大,570000,0.69,0.69
2395,研華,101000,0.6,0.6
2637,慧洋-KY,739000,0.6,0.6
6196,帆宣,109000,0.59,0.59
2347,聯強,656000,0.57,0.58
4904,遠傳電信,560000,0.57,0.58
2618,長榮航,1369000,0.56,0.56
2882,國泰金,543000,0.53,0.53
2412,中華電信,360000,0.49,0.5
2027,大成鋼,1070000,0.47,0.48
1301,台塑,688000,0.45,0.46
3481,群創光電,817000,0.42,0.42
8021,尖點,99000,0.4,0.4
6257,矽格,164000,0.37,0.37
