code,name,shares,weight,market_value_100m
2330,台積電,634000,9.49,15.25
2454,聯發科技,269000,6.43,10.42
2383,台光電,151000,4.57,7.69
2059,川湖科技,91000,4.48,7.46
2308,台達電,378000,4.3,7.11
3037,欣興,562000,3.0,5.04
7769,鴻勁精密,73000,2.82,4.42
6223,旺矽科技,76000,2.76,4.75
3081,聯亞,237600,2.66,4.18
2408,南亞科技,1008000,2.58,4.29
2317,鴻海精密工業,1447000,2.33,3.65
2368,金像電,393000,2.26,3.7
6515,穎崴科技,55000,2.21,3.64
2345,智邦科技,147000,2.08,3.42
3017,奇鋐科技,131000,1.99,3.2
2360,致茂電子,143000,1.9,3.08
1303,南亞,1535000,1.74,3.02
6669,緯穎科技服務,47000,1.72,2.57
3711,日月光投資控股,400000,1.56,2.6
3443,創意,59000,1.53,2.58
5274,信驊科技,16300,1.53,2.53
6274,台燿,187000,1.49,2.5
8046,南電,203000,1.44,2.5
2327,國巨*,345000,1.41,2.4
2376,技嘉,623000,1.41,2.21
3653,健策,64000,1.4,2.2
3036,文曄,1067000,1.4,2.19
8299,群聯電子,120000,1.4,2.3
2382,廣達電腦,647000,1.35,2.12
2891,中國信託金融控股,3264000,1.32,2.08
5904,寶雅國際,312450,1.3,2.03
8996,高力熱處理工業,181000,1.16,1.95
2344,華邦電子,1153000,1.14,1.86
3293,鈊象電子,225000,1.02,1.6
3231,緯創資通,871000,0.99,1.56
4958,臻鼎-KY,318000,0.98,1.61
3529,力旺電子,60000,0.94,1.5
8210,勤誠興業,132000,0.92,1.56
6213,聯茂,460000,0.91,1.42
2884,玉山金融控股,3867622,0.89,1.39
3008,大立光,35000,0.87,1.37
3189,景碩科技,184000,0.83,1.31
3026,禾伸堂,134000,0.55,0.86
6805,富世達,54000,0.49,0.79
3665,貿聯-KY,32336,0.45,0.74
3264,欣銓科技,316000,0.42,0.66
3044,健鼎科技,164000,0.41,0.64
6831,邁科科技,83000,0.36,0.56
6442,光紅建聖,37000,0.31,0.49
3533,嘉澤端子工業,13000,0.16,0.26
