code,name,shares,weight,market_value_100m
2330,台積電,308000,21.8719,7.42
2454,聯發科技,51500,6.6997,2.27
3711,日月光投資控股,196000,3.3959,1.15
2383,台光電,18000,2.872,0.97
2303,聯電,722000,2.7657,0.94
5274,信驊科技,4840,2.4915,0.85
2382,廣達電腦,223000,2.267,0.77
2885,元大金,1073960,2.2088,0.75
2379,瑞昱,98000,2.0589,0.7
3034,聯詠,128000,1.9763,0.67
2308,台達電,36000,1.9359,0.66
6196,帆宣,119000,1.8093,0.61
2441,超豐,527000,1.8013,0.61
2845,遠東國際商業銀行股份有限公司,4418173,1.777,0.6
4763,濟南大自然新材料股份有限公司,1175000,1.7415,0.59
6139,亞翔,78000,1.6916,0.57
2301,光寶科技,184000,1.6699,0.57
5434,崇越,104000,1.6487,0.56
2059,川湖科技,4000,1.6336,0.55
3702,大聯大,532000,1.6303,0.55
2458,義隆,407000,1.595,0.54
2395,研華,76000,1.5922,0.54
3135,凌航科技股份有限公司,301732,1.5381,0.52
3260,威剛科技,108000,1.2745,0.43
3264,欣銓科技,188000,1.2575,0.43
2637,慧洋-KY,410000,1.2057,0.41
2428,興勤電子工業,156000,1.1951,0.41
3017,奇鋐科技,11000,1.1571,0.39
2890,永豐金融,828500,1.0461,0.36
6223,旺矽科技,6500,0.9873,0.34
2439,美律,426000,0.9778,0.33
8081,致新,114000,0.8549,0.29
1303,南亞,112000,0.7442,0.25
2345,智邦科技,12000,0.7425,0.25
2317,鴻海精密工業,95000,0.7166,0.24
2347,聯強,272000,0.7053,0.24
2887,台新新光金,562150,0.6874,0.23
2360,致茂電子,11000,0.658,0.22
3037,欣興,23000,0.6113,0.21
2351,順德,81000,0.5716,0.19
6491,晶碩,46000,0.5218,0.18
3443,創意,3000,0.5136,0.17
5904,寶雅國際,232000,0.4929,0.17
3293,鈊象電子,23000,0.4805,0.16
4904,遠傳電信,156000,0.4781,0.16
2027,大成鋼,307000,0.4541,0.15
8271,宇瞻科技,37000,0.2366,0.08
6257,矽格,37000,0.2311,0.08
6691,洋基工程股份有限公司,12600,0.2298,0.08
8016,矽創,23000,0.1989,0.07
6446,藥華醫藥,2000,0.0772,0.03
