code,name,shares,weight,market_value_100m
PLTR US,帕蘭提爾科技公司,135500,4.295,7.46
000660 KS,愛思開海力士公司,17254,3.979,6.91
HOOD US,羅賓漢市場公司,187000,3.91,6.79
BE US,布魯姆能源公司,79000,3.714,6.45
LITE US,魯門特姆控股公司,24000,3.665,6.37
MU US,美光科技公司,19800,3.346,5.81
8046,南電,551000,3.346,5.81
3017,奇鋐科技,173000,3.296,5.73
MSFT US,微軟,35000,3.235,5.62
NVDA US,NVIDIA CORP(輝達公司),80000,3.087,5.36
SNDK US,晟碟公司（德拉瓦州）,10000,2.839,4.93
SPCX US,太空探索科技公司,94000,2.547,4.43
CRWD US,Crowdstrike控股公司,55000,2.368,4.11
3026,禾伸堂,535000,2.251,3.91
2383,台光電,73000,2.246,3.9
BMNR US,BitMine Immersion技術公司,468640,2.208,3.84
2454,聯發科技,84000,2.205,3.83
5274,信驊科技,21000,2.173,3.78
3653,健策,64000,2.144,3.72
DELL US,戴爾科技公司,21000,2.052,3.57
WPM US,惠頓貴金屬公司,73000,1.998,3.47
SNOW US,Snowflake公司,32500,1.976,3.43
TSM US,台積電,25000,1.911,3.32
009150 KS,三星電機,10300,1.872,3.25
285A JP,鎧俠控股公司,30600,1.834,3.19
6510,精測,93000,1.807,3.14
PANW US,Palo Alto Networks Inc,25300,1.73,3.01
CRCL US,Circle網路集團公司,97000,1.728,3.0
034020 KS,斗山重工業,143000,1.691,2.94
AMZN US,亞馬遜公司,36000,1.669,2.9
PSX US,菲利普66,34000,1.599,2.78
COIN US,比特幣基地全球公司,45000,1.576,2.74
3189,景碩科技,337000,1.548,2.69
2360,致茂電子,117000,1.441,2.5
EQT US,EQT公司,130000,1.265,2.2
600183 CH,廣東生益科技股份有限公司,316000,1.258,2.19
8473 JP,SBI控股公司,305000,1.202,2.09
4062 JP,揖斐電有限公司,50000,1.134,1.97
MRVL US,MARVELL TECHNOLOGY INC,28000,1.121,1.95
COHR US,連貫公司,18300,0.892,1.55
STX US,希捷科技控股公開有限公司,6000,0.884,1.54
INTC US,英特爾,45000,0.8,1.39
AXTI US,AXT公司,74000,0.772,1.34
TSLA US,特斯拉公司,11000,0.722,1.25
ALAB US,Astera實驗室公司,15000,0.705,1.23
NOW US,ServiceNow公司,26000,0.677,1.18
AEHR US,愛赫測試系統,28000,0.427,0.74
NET US,Cloudflare公司,3100,0.187,0.33
MRK US,默克藥廠,5000,0.132,0.23
