code,name,shares,weight,market_value_100m
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,6.39,1.0
MU US,美光科技公司,108569,6.1,0.95
AMAT US,應用材料,135000,4.35,0.68
2383,台光電,445000,3.8,19.2
3037,欣興,2600000,3.68,18.62
LITE US,魯門特姆控股公司,77000,3.43,0.53
6981 JP,村田製作所有限公司,1350000,3.4,86.62
2330,台積電,750000,3.27,16.54
2454,聯發科技,445000,2.85,14.4
285A JP,鎧俠控股公司,180000,2.79,71.1
BE US,布魯姆能源公司,210000,2.79,0.43
WDC US,威騰電子公司,80000,2.74,0.43
IFX GY,英飛凌科技股份有限公司,625000,2.73,0.37
009150 KS,三星電機,65000,2.6,581.1
CRDO US,Credo科技集團控股有限公司,200000,2.58,0.4
TSEM US,TOWER SEMICONDUCTOR LTD,186825,2.53,0.39
SNDK US,晟碟公司（德拉瓦州）,28000,2.3,0.36
8035 JP,TOKYO ELECTRON LTD,110000,2.25,57.46
PANW US,Palo Alto Networks Inc,100000,2.09,0.33
3665,貿聯-KY,520000,1.96,9.93
NOW US,ServiceNow公司,270000,1.91,0.3
6223,旺矽科技,190000,1.8,9.12
3711,日月光投資控股,1800000,1.8,9.09
6871 JP,MICRONICS JAPAN CO LTD,370000,1.73,44.14
6976 JP,TAIYO YUDEN CO LTD,450000,1.54,39.25
MRVL US,MARVELL TECHNOLOGY INC,130000,1.53,0.24
LMT US,LOCKHEED MARTIN CORP,38000,1.4,0.22
2327,國巨*,1550000,1.4,7.08
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.31,33.51
FTNT US,防特網公司,100000,0.99,0.15
2308,台達電,320000,0.97,4.9
VECO US,VEECO INSTRUMENTS INC,310000,0.96,0.15
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,899909,0.9,0.95
6920 JP,LASERTEC CORP,65000,0.86,21.85
SNOW US,Snowflake公司,40000,0.77,0.12
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,0.6,0.63
2303,聯電,2500000,0.54,2.75
AIXA GY,愛思強股份有限公司,200000,0.51,0.07
3017,奇鋐科技,115000,0.48,2.43
4062 JP,揖斐電有限公司,60000,0.32,8.19
AEHR US,AEHR TEST SYSTEMS,10459,0.05,0.01
